Stimmbezirk,ParteiKuerzel,Stimmen
Stimmbezirk 6,Grüne,62
Stimmbezirk 6,FDP,27
Stimmbezirk 6,AfD,88
Stimmbezirk 6,FW,5
Stimmbezirk 6,Die Linke,28
Stimmbezirk 6,dieBasis,0
Stimmbezirk 6,Tierschutzpartei,7
Stimmbezirk 6,Die PARTEI,2
Stimmbezirk 6,ÖDP,4
Stimmbezirk 6,BP,0
Stimmbezirk 6,Volt,3
Stimmbezirk 6,PdH,1
Stimmbezirk 6,MLPD,0
Stimmbezirk 6,Bündnis Deutschland,0
Stimmbezirk 6,BSW,21
Stimmbezirk 7,CSU,179
Stimmbezirk 7,SPD,48
Stimmbezirk 7,Grüne,107
Stimmbezirk 7,FDP,38
Stimmbezirk 7,AfD,70
Stimmbezirk 7,FW,7
Stimmbezirk 7,Die Linke,29
Stimmbezirk 7,dieBasis,4
Stimmbezirk 7,Tierschutzpartei,6
Stimmbezirk 7,Die PARTEI,2
Stimmbezirk 7,ÖDP,1
Stimmbezirk 7,BP,2
Stimmbezirk 7,Volt,2
Stimmbezirk 7,PdH,1
Stimmbezirk 7,MLPD,0
Stimmbezirk 7,Bündnis Deutschland,0
Stimmbezirk 7,BSW,7
Stimmbezirk 8,CSU,176
Stimmbezirk 8,SPD,60
Stimmbezirk 8,Grüne,71
Stimmbezirk 8,FDP,48
Stimmbezirk 8,AfD,73
Stimmbezirk 8,FW,8
Stimmbezirk 8,Die Linke,33
Stimmbezirk 8,dieBasis,3
Stimmbezirk 8,Tierschutzpartei,5
Stimmbezirk 8,Die PARTEI,1
Stimmbezirk 8,ÖDP,0
Stimmbezirk 8,BP,0
Stimmbezirk 8,Volt,3
Stimmbezirk 8,PdH,0
Stimmbezirk 8,MLPD,0
Stimmbezirk 8,Bündnis Deutschland,0
Stimmbezirk 8,BSW,7
Stimmbezirk 9,CSU,152
Stimmbezirk 9,SPD,78
Stimmbezirk 9,Grüne,88
Stimmbezirk 9,FDP,33
Stimmbezirk 9,AfD,65
Stimmbezirk 9,FW,10
Stimmbezirk 9,Die Linke,22
Stimmbezirk 9,dieBasis,2
Stimmbezirk 9,Tierschutzpartei,3
Stimmbezirk 9,Die PARTEI,0
Stimmbezirk 9,ÖDP,3
Stimmbezirk 9,BP,0
Stimmbezirk 9,Volt,5
Stimmbezirk 9,PdH,0
Stimmbezirk 9,MLPD,0
Stimmbezirk 9,Bündnis Deutschland,1
Stimmbezirk 9,BSW,9
Stimmbezirk 10,CSU,139
Stimmbezirk 10,SPD,72
Stimmbezirk 10,Grüne,54
Stimmbezirk 10,FDP,26
Stimmbezirk 10,AfD,35
Stimmbezirk 10,FW,6
Stimmbezirk 10,Die Linke,26
Stimmbezirk 10,dieBasis,1
Stimmbezirk 10,Tierschutzpartei,2
Stimmbezirk 10,Die PARTEI,0
Stimmbezirk 10,ÖDP,1
Stimmbezirk 10,BP,2
Stimmbezirk 10,Volt,2
Stimmbezirk 10,PdH,0
Stimmbezirk 10,MLPD,0
Stimmbezirk 10,Bündnis Deutschland,1
Stimmbezirk 10,BSW,11
Stimmbezirk 11,CSU,154
Stimmbezirk 11,SPD,49
Stimmbezirk 11,Grüne,81
Stimmbezirk 11,FDP,29
Stimmbezirk 11,AfD,55
Stimmbezirk 11,FW,6
Stimmbezirk 11,Die Linke,15
Stimmbezirk 11,dieBasis,1
