datum,ort,neuPositiv,inzidenz7tage
2020-12-24,Anzing,0,67.72
2020-12-25,Anzing,2,112.87
2020-12-26,Anzing,1,135.44
2020-12-27,Anzing,0,135.44
2020-12-28,Anzing,1,158.01
2020-12-29,Anzing,2,203.16
2020-12-30,Anzing,4,225.73
2020-12-31,Anzing,3,293.45
2021-01-01,Anzing,0,248.31
2021-01-02,Anzing,0,225.73
2021-01-03,Anzing,0,225.73
2021-01-04,Anzing,0,203.16
2021-01-05,Anzing,1,180.59
2021-01-06,Anzing,0,90.29
2021-01-07,Anzing,2,67.72
2021-01-08,Anzing,0,67.72
2021-01-09,Anzing,1,90.29
2021-01-10,Anzing,0,90.29
2021-01-11,Anzing,0,90.29
2021-01-12,Anzing,0,67.72
2021-01-13,Anzing,0,67.72
2021-01-14,Anzing,1,45.15
2021-01-15,Anzing,0,45.15
2021-01-16,Anzing,0,22.57
2021-01-17,Anzing,0,22.57
2021-01-18,Anzing,0,22.57
2021-01-19,Anzing,0,22.57
2021-01-20,Anzing,0,22.57
2021-01-21,Anzing,0,0
2021-01-22,Anzing,0,0
2021-01-23,Anzing,0,0
2021-01-24,Anzing,0,0
2021-01-25,Anzing,1,22.57
2021-01-26,Anzing,1,45.15
2021-01-27,Anzing,0,45.15
2021-01-28,Anzing,0,45.15
2021-01-29,Anzing,0,45.15
2021-01-30,Anzing,0,45.15
2021-01-31,Anzing,0,45.15
2021-02-01,Anzing,0,22.57
2021-02-02,Anzing,0,0
2021-02-03,Anzing,0,0
2021-02-04,Anzing,0,0
2021-02-05,Anzing,1,22.57
2021-02-06,Anzing,0,22.57
2021-02-07,Anzing,0,22.57
2021-02-08,Anzing,0,22.57
2021-02-09,Anzing,0,22.57
2021-02-10,Anzing,0,22.57
2021-02-11,Anzing,0,22.57
2021-02-12,Anzing,0,0
2021-02-13,Anzing,0,0
2021-02-14,Anzing,0,0
2021-02-15,Anzing,0,0
2021-02-16,Anzing,0,0
2021-02-17,Anzing,0,0
2021-02-18,Anzing,1,22.57
2021-02-19,Anzing,0,22.57
2021-02-20,Anzing,1,45.15
2021-02-21,Anzing,1,67.72
2021-02-22,Anzing,0,67.72
2021-02-23,Anzing,0,67.72
2021-02-24,Anzing,0,67.72
2021-02-25,Anzing,0,45.15
2021-02-26,Anzing,1,67.72
2021-02-27,Anzing,0,45.15
2021-02-28,Anzing,0,22.57
2021-03-01,Anzing,0,22.57
2021-03-02,Anzing,1,45.15
2021-03-03,Anzing,0,45.15
2021-03-04,Anzing,1,67.72
2021-03-05,Anzing,0,45.15
2021-03-06,Anzing,0,45.15
2021-03-07,Anzing,0,45.15
2021-03-08,Anzing,0,45.15
2021-03-09,Anzing,1,45.15
2021-03-10,Anzing,0,45.15
2021-03-11,Anzing,0,22.57
2021-03-12,Anzing,0,22.57
2021-03-13,Anzing,0,22.57
2021-03-14,Anzing,0,22.57
2021-03-15,Anzing,0,22.57
2021-03-16,Anzing,2,45.15
2021-03-17,Anzing,3,112.87
2021-03-18,Anzing,1,135.44
2021-03-19,Anzing,0,135.44
2021-03-20,Anzing,0,135.44
2021-03-21,Anzing,0,135.44
2021-03-22,Anzing,0,135.44
2021-03-23,Anzing,0,90.29
2021-03-24,Anzing,0,22.57
2021-03-25,Anzing,0,0
2021-03-26,Anzing,1,22.57
2021-03-27,Anzing,0,22.57
2021-03-28,Anzing,0,22.57
2021-03-29,Anzing,0,22.57
2021-03-30,Anzing,0,22.57
2021-03-31,Anzing,0,22.57
2021-04-01,Anzing,0,22.57
2021-04-02,Anzing,0,0
2021-04-03,Anzing,0,0
2021-04-04,Anzing,0,0
2021-04-05,Anzing,0,0
2021-04-06,Anzing,1,22.57
2021-04-07,Anzing,0,22.57
2021-04-08,Anzing,0,22.57
2021-04-09,Anzing,2,67.72
2021-04-10,Anzing,0,67.72
2021-04-11,Anzing,0,67.72
2021-04-12,Anzing,1,90.29
2021-04-13,Anzing,1,90.29
2021-04-14,Anzing,0,90.29
2021-04-15,Anzing,1,112.87
2021-04-16,Anzing,1,90.29
2021-04-17,Anzing,1,112.87
2021-04-18,Anzing,0,112.87
2021-04-19,Anzing,2,135.44
2021-04-20,Anzing,3,180.59
2021-04-21,Anzing,2,225.73
2021-04-22,Anzing,2,248.31
2021-04-23,Anzing,0,225.73
2021-04-24,Anzing,0,203.16
2021-04-25,Anzing,2,248.31
2021-04-26,Anzing,0,203.16
2021-04-27,Anzing,3,203.16
2021-04-28,Anzing,0,158.01
2021-04-29,Anzing,4,203.16
2021-04-30,Anzing,0,203.16
2021-05-01,Anzing,0,203.16
2021-05-02,Anzing,0,158.01
2021-05-03,Anzing,0,158.01
2021-05-04,Anzing,1,112.87
2021-05-05,Anzing,2,158.01
2021-05-06,Anzing,5,180.59
2021-05-07,Anzing,0,180.59
