datum,altersgruppe,neuPositiv,inzidenz7tage
2020-04-29,00-04,0,0
2020-04-29,05-14,0,0
2020-04-29,15-34,8,79.54
2020-04-29,35-59,7,34.24
2020-04-29,60-79,0,7.37
2020-04-29,80+,0,22.14
2020-04-30,00-04,0,0
2020-04-30,05-14,0,0
2020-04-30,15-34,0,66.82
2020-04-30,35-59,1,30.64
2020-04-30,60-79,0,0
2020-04-30,80+,0,11.07
2020-05-01,00-04,0,0
2020-05-01,05-14,0,0
2020-05-01,15-34,1,41.36
2020-05-01,35-59,0,25.23
2020-05-01,60-79,1,3.69
2020-05-01,80+,1,22.14
2020-05-02,00-04,0,0
2020-05-02,05-14,0,0
2020-05-02,15-34,0,41.36
2020-05-02,35-59,0,21.62
2020-05-02,60-79,0,3.69
2020-05-02,80+,0,11.07
2020-05-03,00-04,0,0
2020-05-03,05-14,0,0
2020-05-03,15-34,0,41.36
2020-05-03,35-59,0,21.62
2020-05-03,60-79,0,3.69
2020-05-03,80+,0,11.07
2020-05-04,00-04,0,0
2020-05-04,05-14,0,0
2020-05-04,15-34,0,31.82
2020-05-04,35-59,0,16.22
2020-05-04,60-79,0,3.69
2020-05-04,80+,1,22.14
2020-05-05,00-04,0,0
2020-05-05,05-14,0,0
2020-05-05,15-34,1,31.82
2020-05-05,35-59,0,14.42
2020-05-05,60-79,0,3.69
2020-05-05,80+,0,22.14
2020-05-06,00-04,0,0
2020-05-06,05-14,0,0
2020-05-06,15-34,0,6.36
2020-05-06,35-59,2,5.41
2020-05-06,60-79,0,3.69
2020-05-06,80+,0,22.14
2020-05-07,00-04,0,0
2020-05-07,05-14,1,6.59
2020-05-07,15-34,1,9.55
2020-05-07,35-59,0,3.6
2020-05-07,60-79,0,3.69
2020-05-07,80+,0,22.14
2020-05-08,00-04,0,0
2020-05-08,05-14,0,6.59
2020-05-08,15-34,0,6.36
2020-05-08,35-59,0,3.6
2020-05-08,60-79,0,0
2020-05-08,80+,0,11.07
2020-05-09,00-04,0,0
2020-05-09,05-14,0,6.59
2020-05-09,15-34,0,6.36
2020-05-09,35-59,1,5.41
2020-05-09,60-79,0,0
2020-05-09,80+,0,11.07
2020-05-10,00-04,0,0
2020-05-10,05-14,0,6.59
2020-05-10,15-34,0,6.36
2020-05-10,35-59,0,5.41
2020-05-10,60-79,0,0
2020-05-10,80+,0,11.07
2020-05-11,00-04,0,0
2020-05-11,05-14,0,6.59
2020-05-11,15-34,2,12.73
2020-05-11,35-59,2,9.01
2020-05-11,60-79,0,0
2020-05-11,80+,0,0
2020-05-12,00-04,0,0
2020-05-12,05-14,0,6.59
2020-05-12,15-34,2,15.91
2020-05-12,35-59,3,14.42
2020-05-12,60-79,0,0
2020-05-12,80+,0,0
2020-05-13,00-04,0,0
2020-05-13,05-14,0,6.59
2020-05-13,15-34,11,50.91
2020-05-13,35-59,0,10.81
2020-05-13,60-79,0,0
2020-05-13,80+,0,0
2020-05-14,00-04,0,0
2020-05-14,05-14,0,0
2020-05-14,15-34,1,50.91
2020-05-14,35-59,2,14.42
2020-05-14,60-79,0,0
2020-05-14,80+,0,0
2020-05-15,00-04,0,0
2020-05-15,05-14,0,0
2020-05-15,15-34,0,50.91
2020-05-15,35-59,1,16.22
2020-05-15,60-79,1,3.69
2020-05-15,80+,2,22.14
2020-05-16,00-04,0,0
2020-05-16,05-14,0,0
2020-05-16,15-34,0,50.91
2020-05-16,35-59,0,14.42
2020-05-16,60-79,0,3.69
2020-05-16,80+,0,22.14
2020-05-17,00-04,0,0
2020-05-17,05-14,0,0
2020-05-17,15-34,0,50.91
2020-05-17,35-59,0,14.42
