stimmbezirk,stimmbezirkNr,partei,stimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Stimmbezirk 36,36,Grüne,3649,47,58
Stimmbezirk 36,36,FW,1809,18,25
Stimmbezirk 36,36,AfD,290,6,8
Stimmbezirk 36,36,SPD,2319,16,23
Stimmbezirk 36,36,FDP,997,11,15
Stimmbezirk 37,37,CSU,6438,58,121
Stimmbezirk 37,37,Grüne,3570,42,62
Stimmbezirk 37,37,FW,1998,15,23
Stimmbezirk 37,37,AfD,401,9,11
Stimmbezirk 37,37,SPD,2739,28,41
Stimmbezirk 37,37,FDP,1005,5,7
Stimmbezirk 38,38,CSU,7830,43,133
Stimmbezirk 38,38,Grüne,3525,41,58
Stimmbezirk 38,38,FW,1741,8,13
Stimmbezirk 38,38,AfD,282,5,5
Stimmbezirk 38,38,SPD,2575,19,23
Stimmbezirk 38,38,FDP,1100,17,17
Stimmbezirk 39,39,CSU,6805,50,123
Stimmbezirk 39,39,Grüne,4083,49,64
Stimmbezirk 39,39,FW,2469,24,38
Stimmbezirk 39,39,AfD,287,6,8
Stimmbezirk 39,39,SPD,2506,21,30
Stimmbezirk 39,39,FDP,1236,12,19
Stimmbezirk 40,40,CSU,4583,48,95
Stimmbezirk 40,40,Grüne,2476,39,45
Stimmbezirk 40,40,FW,933,8,12
Stimmbezirk 40,40,AfD,285,7,9
Stimmbezirk 40,40,SPD,1875,13,27
Stimmbezirk 40,40,FDP,820,9,14
Stimmbezirk 41,41,CSU,7288,62,145
Stimmbezirk 41,41,Grüne,3881,53,68
Stimmbezirk 41,41,FW,2363,20,32
Stimmbezirk 41,41,AfD,343,8,10
Stimmbezirk 41,41,SPD,2954,19,39
Stimmbezirk 41,41,FDP,1307,12,16
Stimmbezirk 42,42,CSU,6680,56,125
Stimmbezirk 42,42,Grüne,3315,32,57
Stimmbezirk 42,42,FW,1799,20,22
Stimmbezirk 42,42,AfD,264,4,5
Stimmbezirk 42,42,SPD,2574,19,33
Stimmbezirk 42,42,FDP,959,7,9
Stimmbezirk 43,43,CSU,7272,60,147
Stimmbezirk 43,43,Grüne,3447,44,55
Stimmbezirk 43,43,FW,2007,22,32
Stimmbezirk 43,43,AfD,245,3,7
Stimmbezirk 43,43,SPD,1962,10,18
Stimmbezirk 43,43,FDP,972,4,10
