Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Arnikastraße,Q207848,85591,4692158/958546597/958546770/991410533/991411279/1193070289/1193070290/1193070301,"MULTILINESTRING ((11.776307 48.0973065, 11.7761474 48.0970772, 11.7760657 48.096966), (11.7760938 48.0972977, 11.776307 48.0973065), (11.7760657 48.096966, 11.7756906 48.096464), (11.7756906 48.096464, 11.7751157 48.0956946), (11.7751157 48.0956946, 11.7750719 48.0956381), (11.7750719 48.0956381, 11.7750526 48.0956133, 11.7750036 48.0955502), (11.7750036 48.0955502, 11.7748669 48.0953741), (11.7748669 48.0953741, 11.7745525 48.0949692))"
Asternweg,Q517130,85591,3731509,"MULTILINESTRING ((11.769301 48.1012073, 11.7687274 48.1002849, 11.7677762 48.0987792, 11.7676353 48.0985963))"
Aurikelstraße,Q164186,85591,4648252/958548472,"MULTILINESTRING ((11.771184 48.0980015, 11.7712161 48.0980456, 11.7715021 48.0984383, 11.7718254 48.0988822, 11.7722003 48.0993969), (11.7706748 48.0972526, 11.771184 48.0980015))"
Bahnhofplatz,Q55488,85598,171050649,"MULTILINESTRING ((11.785671 48.0969609, 11.7858638 48.0974471, 11.7859105 48.0974569, 11.7861936 48.0973957))"
Bahnhofstraße,Q55488,85598,4616158/24944007,"MULTILINESTRING ((11.7939676 48.1140986, 11.794485 48.1129202, 11.7945505 48.1127252, 11.7945858 48.1125847), (11.7945858 48.1125847, 11.7945984 48.1124939, 11.7945959 48.1124149, 11.7945883 48.112319, 11.7945707 48.1122367, 11.7945367 48.1121416, 11.7942132 48.1113882, 11.7939469 48.1108456, 11.7937224 48.1102564, 11.7933351 48.1091336, 11.7931829 48.1084332, 11.7930293 48.1077491, 11.7928047 48.1071032, 11.7927775 48.1070248))"
Bahnhofstraße,Q55488,85591,215267880/215267881/228275919/298136349/1120787232/1120787233,"MULTILINESTRING ((11.7658464 48.1047134, 11.7658794 48.1047383, 11.7662493 48.1050448, 11.7666179 48.1053503, 11.7669472 48.1055945, 11.7671358 48.1057384, 11.7676851 48.1061708, 11.7677209 48.1061989), (11.7655607 48.104453, 11.7658019 48.1046762, 11.7658464 48.1047134), (11.7654863 48.1043577, 11.7655607 48.104453), (11.7677209 48.1061989, 11.7681772 48.1065581, 11.7682262 48.1065962, 11.7683102 48.1066618, 11.7685565 48.1068539, 11.7689424 48.1071548), (11.7689424 48.1071548, 11.7694934 48.1075631, 11.7696454 48.1076795, 11.7703815 48.1082873, 11.7711433 48.1088955), (11.7711433 48.1088955, 11.7711909 48.1089053, 11.771242 48.1089026, 11.7713486 48.1088765))"
Baldhamer Straße,Q804782,85591,33092119/33092123/33092147/171247846/187942867/228592466/732181476/1106086413/1106086414/1120787461/1131767881,"MULTILINESTRING ((11.7775946 48.1113628, 11.7775533 48.1113266, 11.7773425 48.1111421, 11.776638 48.1110576, 11.7765696 48.1110009, 11.7765674 48.1109109), (11.776638 48.1110576, 11.7764738 48.1112339), (11.7770339 48.1115418, 11.7772287 48.1114945, 11.7774173 48.1114389, 11.7775946 48.1113628, 11.7776712 48.1113278, 11.7778795 48.1112246, 11.7780538 48.1111279, 11.7782355 48.1110288, 11.7783057 48.1109901, 11.778373 48.1109534, 11.7784089 48.1109339, 11.7786421 48.1108068, 11.7788862 48.1106737, 11.7789876 48.1106184, 11.7791233 48.1105545), (11.7783057 48.1109901, 11.7780252 48.1107555, 11.7779811 48.1107186, 11.7778268 48.1105808, 11.7773304 48.1105045, 11.7771451 48.1104811), (11.773964 48.1111355, 11.7742041 48.1112383, 11.7750158 48.1114681, 11.7753778 48.1115667, 11.7755269 48.1116033, 11.7757772 48.1116379, 11.7760119 48.1116466, 11.7761318 48.1116423, 11.7762823 48.1116368, 11.7766434 48.1115972, 11.7769466 48.1115542, 11.7770339 48.1115418), (11.7796563 48.1104577, 11.779509 48.1104839, 11.7791233 48.1105545), (11.7791233 48.1105545, 11.7792534 48.1105051, 11.7795958 48.1103699), (11.779908 48.1106712, 11.7798043 48.1106904), (11.7803446 48.110718, 11.7802377 48.1106817, 11.7801484 48.110662, 11.7800747 48.1106571, 11.7800001 48.1106577, 11.779908 48.1106712), (11.7821528 48.1111774, 11.7817917 48.1111079, 11.7815863 48.1110685, 11.781321 48.111004, 11.7810668 48.1109363, 11.7807103 48.1108305, 11.7803446 48.110718), (11.7832075 48.1113127, 11.7830795 48.1113164, 11.7829837 48.1113096, 11.7829017 48.1113016, 11.7827902 48.1112869, 11.7821528 48.1111774))"
Beethovenstraße,Q255,85591,49801392/228444097/288793535/627185259/738935186,"MULTILINESTRING ((11.7767623 48.1070225, 11.7773123 48.1064847, 11.7780689 48.1057663, 11.7781504 48.1056786, 11.7783572 48.1054565, 11.7786208 48.1050597, 11.7789034 48.1046846, 11.7794656 48.1038829, 11.779567 48.1037306), (11.779567 48.1037306, 11.7800573 48.1030411, 11.7802336 48.1027922, 11.780782 48.1020552, 11.7808093 48.1020185), (11.7808093 48.1020185, 11.7808461 48.101967, 11.7812171 48.1014473, 11.7813252 48.1013606, 11.7814476 48.1013091, 11.781549 48.1012815), (11.781549 48.1012815, 11.7815235 48.1012421, 11.7815143 48.1012278, 11.7811846 48.1011106, 11.781054 48.1010628), (11.781549 48.1012815, 11.7818992 48.1012145, 11.7819471 48.1012053))"
Berglackerweg,,85646,24927120/117704919/937337033/937337034,"MULTILINESTRING ((11.8185588 48.150705, 11.8186462 48.1507259), (11.8186462 48.1507259, 11.8192998 48.1508244, 11.8205084 48.151042), (11.8205084 48.151042, 11.8206092 48.1509293, 11.8207379 48.1509487, 11.8207258 48.1510791), (11.8207258 48.1510791, 11.8205084 48.151042))"
Bergstraße,Q28370127,85646,27486792/166892477,"MULTILINESTRING ((11.8227777 48.1560138, 11.8232661 48.1554263, 11.8235739 48.1550979, 11.8240278 48.1545763), (11.8226071 48.1539436, 11.8226085 48.1543201, 11.8226728 48.154806, 11.8227694 48.1550501, 11.8229663 48.155244, 11.8230964 48.1553412, 11.8232661 48.1554263))"
