Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Fuchsweg,Q8331,85598,171050655/228444103,"MULTILINESTRING ((11.788534 48.1015634, 11.7885982 48.1015414, 11.788648 48.1015244, 11.7891722 48.1013128, 11.7900938 48.1008808, 11.7903543 48.1007939, 11.7906673 48.1007109, 11.7909283 48.1006509, 11.7917519 48.1004493, 11.7919349 48.1004061, 11.7922885 48.1003573, 11.7926896 48.1003198, 11.7931332 48.1002525, 11.7935423 48.100187, 11.7942118 48.1000202, 11.7948591 48.0998798, 11.796047 48.0996115, 11.7963139 48.0995544, 11.7963654 48.0995424, 11.7969115 48.0994164, 11.7972072 48.0993448, 11.7975832 48.0992715, 11.7980302 48.0992075, 11.7981545 48.0991879, 11.7989805 48.0990573, 11.7995047 48.0989602, 11.7999226 48.0989, 11.8003023 48.09887, 11.8005424 48.098851, 11.8010166 48.0988136, 11.8012528 48.0987915, 11.8018921 48.098731, 11.8021529 48.0987048, 11.8035429 48.0985649), (11.8035429 48.0985649, 11.8042922 48.0985089, 11.8049352 48.0984412, 11.8056738 48.0983495, 11.8058241 48.0983235, 11.805951 48.0980796, 11.8060997 48.0978923))"
Föhrenstraße,Q12024,85598,4644435/1120714847/1120714848,"MULTILINESTRING ((11.7823278 48.0935006, 11.7828102 48.0945025), (11.7822644 48.0933679, 11.7823278 48.0935006), (11.7828102 48.0945025, 11.7832427 48.0953267))"
Föhrenweg,Q12024,85591,4615610/732194996/935178787/995789993,"MULTILINESTRING ((11.769887 48.114763, 11.7703722 48.1149319, 11.7704703 48.114966, 11.7706082 48.1150165, 11.7713391 48.1152844), (11.7697311 48.1147087, 11.769887 48.114763), (11.7713391 48.1152844, 11.7717453 48.1154333), (11.7717453 48.1154333, 11.7718059 48.1154555, 11.7731975 48.1159918, 11.7732848 48.116026))"
Gangsteigweg,,85646,24943876/201845529/408032953,"MULTILINESTRING ((11.8311686 48.1294781, 11.8309268 48.1297381, 11.8305254 48.1301992, 11.8303288 48.1304243, 11.8302579 48.1305055, 11.8301777 48.1306128, 11.8300082 48.1310209, 11.8298664 48.1313381), (11.8316674 48.1290057, 11.8315737 48.1290262, 11.8311686 48.1294781), (11.8298664 48.1313381, 11.8298505 48.1314087, 11.8298102 48.1318856, 11.8297604 48.1327064, 11.8297501 48.1329821, 11.8297211 48.1332793, 11.8297181 48.1335321, 11.8297171 48.1336141))"
Gartenstraße,Q1107656,85598,4688904,"MULTILINESTRING ((11.786089 48.0920048, 11.7866916 48.0939042, 11.7867727 48.0941487, 11.7868729 48.0944508, 11.7873337 48.0958399, 11.7874316 48.096135, 11.7876383 48.0967581))"
Gartenweg,Q1107656,85646,24927189,"MULTILINESTRING ((11.8192998 48.1508244, 11.8194498 48.1503965, 11.8195792 48.1500723, 11.81968 48.1498134, 11.8197551 48.1495837, 11.8197947 48.1494831, 11.8198335 48.149228))"
Geigelsteinstraße,Q315546,85598,4688903,"MULTILINESTRING ((11.7878353 48.0923473, 11.7881223 48.0930889))"
Geranienweg,Q157211,85598,4688905/865987374,"MULTILINESTRING ((11.7866916 48.0939042, 11.7861118 48.0940157, 11.7854711 48.094147), (11.7854711 48.094147, 11.784782 48.0942882))"
Gerda-Penzel-Straße,Q115460896,85591,70792786/70792787/84339451/995789110,"MULTILINESTRING ((11.776621 48.113291, 11.7765469 48.1132538, 11.7762147 48.1130723, 11.7757324 48.1127889, 11.7756671 48.1127455, 11.7757018 48.1127167, 11.7762943 48.112257, 11.7763458 48.1122226, 11.7764015 48.1122098, 11.7764659 48.1122055, 11.7765302 48.1122312, 11.7769698 48.1124733, 11.7771741 48.1125769, 11.7773282 48.1126637, 11.7773775 48.1127073), (11.7756671 48.1127455, 11.7750407 48.1123503, 11.7749972 48.1123229), (11.7769698 48.1124733, 11.7766388 48.1127359), (11.7766388 48.1127359, 11.7762147 48.1130723))"
Ginsterweg,Q156696,85598,24964584,"MULTILINESTRING ((11.796047 48.0996115, 11.7964064 48.1006061, 11.7965302 48.100617, 11.7974481 48.1004078))"
Gluckstraße,Q130759,85591/85598,171050663/806985296/891477680/1097529921,"MULTILINESTRING ((11.7818098 48.1069004, 11.7829582 48.1062289, 11.7835724 48.1058492, 11.7839038 48.1056576, 11.7841958 48.1054638, 11.7843262 48.105375, 11.784396 48.1053172), (11.784396 48.1053172, 11.7844347 48.1052807), (11.7815609 48.1070463, 11.7818098 48.1069004), (11.7809235 48.106597, 11.781312 48.1068801, 11.7815609 48.1070463))"
Goldregenweg,Q147184,85591,3731597,"MULTILINESTRING ((11.7651648 48.1015925, 11.7653271 48.1017164, 11.7658316 48.1025223, 11.7661216 48.1029855))"
Grasweg,,85646,24928328,"MULTILINESTRING ((11.8169655 48.14595, 11.8164216 48.1458978))"
Gruber Straße,Q115471972,85599,4046352/4080207/4294646/4294647/4710687/4710688/5086695/5086696/5086738/37273649/37273650/40990490/40990510/144115043/203780799/228714019/233256612/233257524/233257525/233258990/250515628/250517523/301681319/301702158/301707211/304562918/304562919/304562920/304562922/304836376/344076725/825361722/830825255/830831628/830831629/830831631/899960147/908175829/908175830/908175831/908175833/908175834/908175837/968531090,"MULTILINESTRING ((11.7878441 48.1434967, 11.7878665 48.1433582), (11.787617 48.1443577, 11.7875432 48.144075, 11.7875342 48.14395, 11.7875613 48.1438456, 11.787626 48.1437328, 11.7876931 48.1436326, 11.7877693 48.1435522, 11.7878441 48.1434967), (11.7878441 48.1434967, 11.787817 48.1436619, 11.7877978 48.1437784, 11.7877792 48.1438911, 11.787764 48.1439834, 11.7877447 48.1440908, 11.7877021 48.144199, 11.787617 48.1443577), (11.787617 48.1443577, 11.7875869 48.1445633, 11.7875708 48.1446738), (11.7875708 48.1446738, 11.7875569 48.14475, 11.7875364 48.144864, 11.7874928 48.1451064, 11.7874801 48.1451694, 11.787447 48.145333, 11.7873852 48.1456186, 11.7872719 48.146142, 11.7872516 48.1462356, 11.7872108 48.1464083), (11.7875708 48.1446738, 11.7877183 48.1446822, 11.7879221 48.1447021, 11.7882177 48.144746, 11.7885056 48.1448039), (11.7885056 48.1448039, 11.7887508 48.1448595), (11.7889682 48.1449873, 11.7888522 48.1449251, 11.7887508 48.1448595), (11.7887508 48.1448595, 11.7888758 48.1448661, 11.7889873 48.1448705, 11.7890427 48.1448669), (11.7872108 48.1464083, 11.787219 48.1464336, 11.7871837 48.1465856, 11.7871265 48.1468547, 11.7871191 48.1469084, 11.7871155 48.1469637, 11.7871265 48.1470222, 11.7871459 48.1470645, 11.7871767 48.1471067, 11.7872445 48.1471733, 11.7872852 48.147202, 11.7873527 48.1472535), (11.7873527 48.1472535, 11.7874366 48.1472181, 11.7875062 48.1471974, 11.7876023 48.1471702, 11.7877075 48.1471495, 11.7878134 48.1471363, 11.7879389 48.147131, 11.7880932 48.1471353, 11.7882197 48.1471485, 11.7882639 48.1471531, 11.7884059 48.1471751, 11.7885982 48.1472005, 11.7887977 48.1472095, 11.788867 48.1472), (11.7868019 48.1479183, 11.7868271 48.147866, 11.7868659 48.1477626, 11.7868947 48.1476763, 11.7869132 48.1476324, 11.7869558 48.147565, 11.7869975 48.1475125, 11.7870512 48.1474513, 11.7871142 48.1473982, 11.787192 48.1473395, 11.7872781 48.1472906, 11.7873527 48.1472535), (11.7866996 48.1480123, 11.7867637 48.1479636, 11.7868019 48.1479183), (11.7865589 48.1480919, 11.7866027 48.1480585, 11.7866443 48.1480361, 11.7866996 48.1480123), (11.7865546 48.1482475, 11.7865297 48.1482023, 11.786527 48.1481542, 11.7865589 48.1480919), (11.7866502 48.1483128, 11.7866121 48.1482956, 11.78658 48.148272, 11.7865546 48.1482475), (11.7866683 48.1487258, 11.7866604 48.1486392, 11.786675 48.1484525, 11.7866639 48.1483521, 11.7866502 48.1483128), (11.7869354 48.148395, 11.7868676 48.1484622, 11.7867717 48.1486222, 11.7867194 48.1486857, 11.7866683 48.1487258), (11.7866467 48.1487905, 11.7866683 48.1487258), (11.7865291 48.1493477, 11.7866467 48.1487905), (11.7864337 48.1496394, 11.7865291 48.1493477), (11.7863805 48.1498724, 11.7864337 48.1496394), (11.7863227 48.1501949, 11.7863392 48.1501004, 11.7863805 48.1498724), (11.7863055 48.1502898, 11.7863227 48.1501949), (11.7862115 48.1508083, 11.7862504 48.150594, 11.7862759 48.1504532, 11.7863055 48.1502898), (11.7860744 48.1515509, 11.7861127 48.1513532, 11.7862115 48.1508083), (11.7847557 48.1580452, 11.784865 48.1575007, 11.7853503 48.1552602, 11.7854189 48.1548875, 11.785715 48.1534084, 11.7860744 48.1515509), (11.7842573 48.1601769, 11.7845644 48.1588221, 11.7847557 48.1580452), (11.7869178 48.148306, 11.7868683 48.1483475, 11.78682 48.1484038, 11.7867784 48.1484638, 11.7867529 48.1485076, 11.7867315 48.1485515, 11.7867114 48.1485971, 11.7866683 48.1487258), (11.7869775 48.1482341, 11.7869543 48.1482698, 11.7869178 48.148306), (11.7869043 48.1480122, 11.7869006 48.1480595, 11.7869143 48.1480939, 11.7869714 48.1481516, 11.7869877 48.1481956, 11.7869775 48.1482341), (11.7866996 48.1480123, 11.7867682 48.1480026, 11.7868287 48.148002, 11.7869043 48.1480122), (11.7869043 48.1480122, 11.7869337 48.1480161, 11.7869956 48.148042), (11.7870277 48.1476448, 11.7870243 48.147712, 11.7870051 48.1477748, 11.7869906 48.1478771, 11.7869864 48.1479694, 11.7869956 48.148042), (11.7869956 48.148042, 11.7870475 48.1480865, 11.7870717 48.1481243), (11.7870717 48.1481243, 11.7870902 48.1481719, 11.7870903 48.1482171), (11.7870903 48.1482171, 11.7870895 48.1482301, 11.787079 48.1482621, 11.787066 48.1482905), (11.7870903 48.1482171, 11.7870639 48.1482186, 11.7869775 48.1482341), (11.787066 48.1482905, 11.7870373 48.1483239, 11.7869354 48.148395), (11.7882566 48.1472271, 11.7882163 48.1472218, 11.7880525 48.147209, 11.7879178 48.14721, 11.7877832 48.1472165, 11.7876598 48.1472345, 11.7875561 48.1472646, 11.7874224 48.1473128, 11.7873309 48.1473597, 11.7872412 48.1474189, 11.7871464 48.1474941, 11.7870692 48.1475825, 11.7870277 48.1476448), (11.7888325 48.1473513, 11.7886708 48.147291, 11.7885896 48.1472683, 11.7884697 48.1472416, 11.7883629 48.1472317, 11.7882566 48.1472271), (11.7870277 48.1476448, 11.7869769 48.1477014, 11.7869514 48.147773, 11.7869289 48.1478511, 11.7869077 48.1479581, 11.7869043 48.1480122), (11.7869178 48.148306, 11.7868493 48.1483245, 11.7867776 48.1483256, 11.7867187 48.1483243, 11.7866502 48.1483128), (11.7878665 48.1433582, 11.7879985 48.1427307, 11.7880242 48.1426165))"
Gustav-Mahler-Weg,Q7304,85591/85598,4637922/4637923/8150069/171050664/171050665/171050666/171050667/946005794,"MULTILINESTRING ((11.7869773 48.104635, 11.7869504 48.1046056, 11.7868611 48.1045474, 11.7867794 48.1045017, 11.7866976 48.1044559, 11.7865719 48.1044019, 11.7865043 48.1043793, 11.7864357 48.1043877, 11.7862775 48.1044192, 11.7862207 48.1044409, 11.7860723 48.1044975, 11.78588 48.104622, 11.7857771 48.1046782, 11.785707 48.1046991, 11.7856767 48.104706, 11.7853861 48.1047486, 11.7851932 48.1047765), (11.7870231 48.1048885, 11.7869882 48.1047858, 11.7869818 48.1047245, 11.7869783 48.1046902, 11.7869773 48.104635), (11.7869773 48.104635, 11.787115 48.1045815, 11.7873805 48.1045432, 11.7877527 48.1044994, 11.7877969 48.1044942), (11.7865796 48.1036462, 11.7866213 48.1037079, 11.7867598 48.1039128, 11.7868035 48.1039602, 11.7868774 48.1040354, 11.7870167 48.1041858, 11.7870216 48.1041949, 11.7871152 48.1043717, 11.7871322 48.1044797, 11.787115 48.1045815), (11.7862922 48.1055585, 11.7862521 48.1054157, 11.7862161 48.1052876, 11.7863803 48.1051698, 11.7864031 48.1051519, 11.7864613 48.1051054, 11.7866925 48.1049264, 11.7867373 48.1048924, 11.7867458 48.104886, 11.7867831 48.1048577, 11.7868404 48.1048143, 11.7869262 48.1047549, 11.7869818 48.1047245), (11.7858711 48.1055366, 11.7858718 48.1055237, 11.7858794 48.1055194, 11.7859478 48.1054807, 11.7861446 48.1053404, 11.7862036 48.1052982, 11.7862161 48.1052876), (11.7853861 48.1047486, 11.7853264 48.1045862), (11.7851932 48.1047765, 11.785214 48.1048661))"
Hamsterweg,Q6573,85598,4606322/123771813/123771816/123771818/123771819,"MULTILINESTRING ((11.7950545 48.1064161, 11.795017 48.1063239, 11.7949862 48.1060978, 11.7949505 48.1058297, 11.7949418 48.10575, 11.794911 48.1055419, 11.7948997 48.1054642, 11.7948594 48.1052712, 11.7947981 48.105027, 11.794632 48.1045161), (11.794911 48.1055419, 11.7955084 48.1054781), (11.7948594 48.1052712, 11.7954063 48.1052031), (11.7949505 48.1058297, 11.795546 48.1057563), (11.7949862 48.1060978, 11.7955676 48.1060245))"
Hans-Luft-Weg,Q115463377,85591,4607899/4615182/8149744/171050713/171247862/187942870/187942871/187942872/187942874/187942876/1106086412,"MULTILINESTRING ((11.7803405 48.1096127, 11.7803063 48.109745, 11.7802713 48.109829, 11.7805553 48.1099988, 11.7806315 48.1100069, 11.7808104 48.110062, 11.7812376 48.1101937, 11.7815647 48.1102939, 11.7817847 48.1103683, 11.7818618 48.1104218, 11.7820298 48.1107119, 11.78209 48.1108258, 11.782177 48.1109461, 11.7822077 48.1110506, 11.7821753 48.111131, 11.7821528 48.1111774, 11.7821308 48.1112311), (11.7804671 48.1100141, 11.7803458 48.1100704, 11.7802549 48.1101255, 11.7801906 48.1101645, 11.7802309 48.1100683, 11.7802564 48.1099271, 11.7802713 48.109829), (11.7801906 48.1101645, 11.7798731 48.1103241, 11.7797545 48.1103868), (11.779677 48.1103255, 11.7798731 48.1103241), (11.7795262 48.1101673, 11.7796389 48.1102959, 11.779677 48.1103255, 11.7797545 48.1103868, 11.7799628 48.1105119, 11.7802959 48.1106434, 11.7803893 48.1106675), (11.7799628 48.1105119, 11.7798054 48.1105433, 11.7797837 48.1105487), (11.7797545 48.1103868, 11.7798054 48.1105433, 11.7798547 48.1105742, 11.7798651 48.110592, 11.779908 48.1106712), (11.7797837 48.1105487, 11.7797255 48.1105636, 11.7796474 48.1105833), (11.7802713 48.109829, 11.7800127 48.1096271, 11.7799536 48.1095683, 11.7799178 48.1095182, 11.7798821 48.1094603, 11.7798121 48.1093504, 11.7797306 48.1092494, 11.779686 48.109194, 11.7796254 48.1091551, 11.7795924 48.1091348, 11.779448 48.109107, 11.7793279 48.1090962, 11.779188 48.1091015, 11.7790245 48.1090813, 11.7789018 48.1090478, 11.7787695 48.1090709), (11.7818784 48.1073371, 11.7819983 48.1074231, 11.7820877 48.107504, 11.7819588 48.107746, 11.7819158 48.1079523, 11.7819158 48.1081873, 11.7819845 48.1083535, 11.7820317 48.1084445, 11.7816927 48.1086343, 11.7815128 48.1087136, 11.7812452 48.1088929, 11.7810919 48.109024, 11.7803405 48.1096127, 11.780223 48.1096507, 11.7801332 48.1096572, 11.7800127 48.1096271), (11.7820317 48.1084445, 11.7820783 48.108426, 11.7822935 48.1083592, 11.7824609 48.1083685, 11.7829458 48.1085254, 11.7831091 48.1085521, 11.7832924 48.1085577, 11.7834929 48.108526, 11.7835904 48.1085157, 11.783732 48.1083921, 11.7839147 48.1082742, 11.7840067 48.1082699, 11.784142 48.108327, 11.7842903 48.1083891, 11.7844403 48.1084541, 11.7844913 48.108478, 11.7845218 48.1084861, 11.7845545 48.1084839, 11.7846144 48.1084476))"
Hartholzweg,,85599,4047094/210508931/1001570867,"MULTILINESTRING ((11.787788 48.1419995, 11.7879348 48.1419592, 11.7882877 48.1419077, 11.7885633 48.1419214, 11.7886075 48.1416533, 11.7886774 48.1415214, 11.7887069 48.1415073, 11.7888452 48.1414413, 11.7888706 48.1414337, 11.7893183 48.141299, 11.7897011 48.1411749, 11.7897784 48.1411369, 11.7898734 48.1410726, 11.7902025 48.1407585, 11.7902504 48.1407128, 11.7906755 48.140307), (11.7906755 48.140307, 11.7936098 48.1374216, 11.7948104 48.1362272, 11.795566 48.1354837, 11.7961818 48.1348899, 11.7968485 48.13442, 11.7970238 48.134284, 11.7971428 48.1341418, 11.7972447 48.1340124, 11.7972952 48.1339159, 11.7973452 48.1338094, 11.7974923 48.1334308, 11.7977207 48.1330916, 11.7979152 48.1328329, 11.7981223 48.1326452), (11.7981223 48.1326452, 11.7983273 48.1324945, 11.7986453 48.1321966, 11.7986721 48.132173, 11.8005121 48.1302343))"
Hartweg,,85646,24943744,"MULTILINESTRING ((11.8117187 48.1458861, 11.8116515 48.1464514, 11.8116334 48.1466038, 11.8115968 48.1469022))"
Hasenweg,Q25900,85598,171050668/790567865/790567866,"MULTILINESTRING ((11.796984 48.1041863, 11.7957013 48.1043738), (11.7957013 48.1043738, 11.7954506 48.1043822, 11.794632 48.1045161, 11.7937885 48.1046208), (11.7937885 48.1046208, 11.7927602 48.104764, 11.7916138 48.104916))"
Haukweg,,85598,512383669/691445054,"MULTILINESTRING ((11.7959435 48.1167201, 11.7958861 48.116695), (11.7958861 48.116695, 11.7955184 48.1165968, 11.794309 48.1162436, 11.7942243 48.1162076, 11.7941724 48.1161434))"
Haydnstraße,Q7349,85591,171050669,"MULTILINESTRING ((11.778273 48.1030761, 11.7788558 48.1023523, 11.7793649 48.1017179))"
Heideweg,,85598,4684743/832338242,"MULTILINESTRING ((11.8038043 48.0970784, 11.8036333 48.0973264, 11.8035436 48.097481, 11.8034866 48.0976029, 11.8034826 48.0976164, 11.8034563 48.0977056, 11.8034392 48.0978271, 11.803437 48.0978731, 11.8034341 48.0979339, 11.8034436 48.0981575, 11.8035429 48.0985649), (11.8035429 48.0985649, 11.8037167 48.098898, 11.803826 48.0991074, 11.8039474 48.099369, 11.8040489 48.0996025, 11.8042612 48.0999381))"
Heimgartenstraße,Q315930,85591,52385441,"MULTILINESTRING ((11.7736932 48.1028357, 11.7740571 48.1035733, 11.7743058 48.1041569, 11.7743846 48.1042069, 11.7744889 48.1042177, 11.775104 48.1040923, 11.7752131 48.1041384))"
Heimstettener Straße,Q52960974,85599,4046635/22278751/22278760/22281856/144655307/228723942/228723943/228723944/228948076/228948077/301706839/304231869/304562923/304562929/554681630/677238779/831337207/831337208/831337209/831337210/831337211/899960143/899960144/899960145/899960146/1062261469/1062261470,"MULTILINESTRING ((11.7852655 48.1438564, 11.7854261 48.1434587, 11.7854513 48.1433963), (11.7851725 48.1446039, 11.7851583 48.1445419, 11.7851203 48.1443486, 11.7852655 48.1438564), (11.7875708 48.1446738, 11.7874272 48.1446636, 11.7873345 48.1446599, 11.786964 48.1446557, 11.7868667 48.1446492, 11.7864647 48.1446435, 11.785991 48.1446421, 11.7856938 48.1446343, 11.7853794 48.1446179, 11.7851725 48.1446039), (11.7851725 48.1446039, 11.7851174 48.1446036, 11.7850468 48.1446164, 11.7849784 48.1446314, 11.7849089 48.1446585, 11.7848458 48.1446913, 11.7847282 48.14477, 11.7844585 48.1449837, 11.7842513 48.1451464, 11.7835602 48.1456891), (11.7835602 48.1456891, 11.7831552 48.1460018), (11.7831552 48.1460018, 11.7827765 48.146307, 11.7826769 48.1463873, 11.782201 48.1467684), (11.782201 48.1467684, 11.7821166 48.1468363), (11.7821166 48.1468363, 11.7820819 48.1468641, 11.7819291 48.1469845), (11.7819291 48.1469845, 11.7814168 48.1473927), (11.7805547 48.1480773, 11.7812433 48.147525, 11.7814168 48.1473927), (11.780226 48.1482192, 11.7805547 48.1480773), (11.7799667 48.1484107, 11.7799585 48.1483673, 11.779969 48.1483242, 11.7799974 48.1482848, 11.7800413 48.1482523, 11.7800972 48.1482295, 11.7801605 48.1482181, 11.780226 48.1482192), (11.7798932 48.1486288, 11.7799419 48.1484767, 11.7799667 48.1484107), (11.7798932 48.1486288, 11.7794488 48.1489676, 11.7789494 48.1494617, 11.7787661 48.1496806, 11.7784694 48.1500658, 11.7781067 48.1504921, 11.7778414 48.1507299, 11.7775384 48.1509749, 11.7771915 48.1512294, 11.7767331 48.1514997, 11.7766672 48.1515332, 11.7761727 48.1517856, 11.7757096 48.15204, 11.7755237 48.1521422, 11.7750142 48.1525271, 11.7746641 48.1528318, 11.7744098 48.1531083, 11.7742955 48.1532289), (11.7740424 48.1533635, 11.7742955 48.1532289), (11.7742955 48.1532289, 11.7742699 48.1534425), (11.7801305 48.1485182, 11.7798932 48.1486288), (11.7801305 48.1485182, 11.7800749 48.1485032, 11.780027 48.1484791, 11.7799901 48.1484476, 11.7799667 48.1484107), (11.7802481 48.1485177, 11.7801893 48.148523, 11.7801305 48.1485182), (11.7804171 48.1483697, 11.7804094 48.1484093, 11.7803867 48.1484462, 11.7803505 48.1484779, 11.7803032 48.1485023, 11.7802481 48.1485177), (11.7804106 48.1483338, 11.7804171 48.1483697), (11.7805547 48.1480773, 11.7804368 48.1482684, 11.7804106 48.1483338), (11.780226 48.1482192, 11.7802893 48.1482328, 11.780344 48.148258, 11.7803856 48.1482927, 11.7804106 48.1483338), (11.7756952 48.1519345, 11.7755237 48.1521422), (11.7762471 48.1514947, 11.7756952 48.1519345), (11.7795833 48.148647, 11.7795298 48.1487537, 11.7787324 48.1495271, 11.7781999 48.1499391, 11.7771625 48.1507655, 11.7764894 48.1513016, 11.7762471 48.1514947), (11.785437 48.143219, 11.7854582 48.1432511, 11.7854668 48.1432804, 11.7854679 48.1433252, 11.7854641 48.1433603, 11.7854513 48.1433963))"
Heinrich-Laberger-Ring,Q115462284,85591,24969897/24969900/227935465/231599712/232987166/682385185/741321650/958552983/958553223,"MULTILINESTRING ((11.7741381 48.1016538, 11.7745217 48.101578), (11.7736676 48.1013062, 11.7740255 48.1014571, 11.7741381 48.1016538), (11.7736673 48.1010412, 11.7736667 48.1010842, 11.773664 48.1012749, 11.7736676 48.1013062), (11.7736676 48.1013062, 11.7729166 48.1013097, 11.772555 48.1013234, 11.7721704 48.1013379), (11.7723296 48.1020433, 11.772264 48.1020194, 11.7722222 48.1018201, 11.7721704 48.1013379), (11.7741381 48.1016538, 11.7723296 48.1020433), (11.7721704 48.1013379, 11.7719368 48.1013466), (11.7718224 48.1013517, 11.7719368 48.1013466), (11.7714474 48.1013853, 11.7718224 48.1013517))"
Heinrich-Marschner-Straße,Q160063,85591/85598,130044481/171050670/228444104/228444105/228444106/1069827470,"MULTILINESTRING ((11.7870934 48.1032394, 11.787126 48.1032174), (11.787126 48.1032174, 11.7871846 48.1031684, 11.7872409 48.1031213, 11.7873307 48.1030326, 11.7874237 48.1029163, 11.7876425 48.1026469, 11.7877001 48.1025706, 11.7877396 48.1025212, 11.7877593 48.1024966, 11.7880264 48.1021625, 11.7880967 48.1020745), (11.7880967 48.1020745, 11.7882416 48.1018933, 11.7883083 48.1017683, 11.7883354 48.1017175, 11.7883552 48.1016804), (11.7833457 48.1048494, 11.7834735 48.104755, 11.7836593 48.104624, 11.7840423 48.1043857, 11.7842245 48.1042866, 11.7842601 48.1042673, 11.7844032 48.1041895, 11.7846668 48.1040703, 11.7849691 48.1039713, 11.7852881 48.1039099, 11.7855928 48.1038794, 11.7858486 48.1038668, 11.7860543 48.1038517, 11.7861127 48.1038474, 11.7863198 48.1038012, 11.7864502 48.1037464, 11.7865796 48.1036462, 11.7868189 48.1034567, 11.7869554 48.1033469, 11.7870096 48.1033058, 11.7870934 48.1032394), (11.7832751 48.1048947, 11.7833457 48.1048494), (11.7781764 48.1082193, 11.7795514 48.1074215, 11.7798892 48.1072255, 11.7805099 48.1068552, 11.7808204 48.1066614, 11.7809235 48.106597, 11.7818822 48.1059166, 11.7830244 48.1050786, 11.78317 48.1049718, 11.7832751 48.1048947))"
Heinrich-Schütz-Straße,Q153643,85598,171050671,"MULTILINESTRING ((11.7883722 48.1030098, 11.7883282 48.1028735, 11.7883238 48.1028039, 11.788357 48.102724, 11.7885272 48.1026475, 11.7885668 48.1026351, 11.788694 48.1025824, 11.7891271 48.1024133, 11.7892002 48.1023847))"
Herbststraße,Q1314,85598,24964565,"MULTILINESTRING ((11.7938517 48.0986039, 11.7940953 48.0996781, 11.7942118 48.1000202))"
Hergoldinger Straße,Q115472007,85599,4047043/4047144/32857566/38708148/228716421/344074715/344074716/825361723/852401188/852401189,"MULTILINESTRING ((11.7869666 48.1409779, 11.7870177 48.1409497, 11.7870766 48.1409105, 11.7871532 48.1408593, 11.7872095 48.1408083, 11.7872376 48.1407674, 11.7873518 48.1405275, 11.7874939 48.1402043), (11.7874939 48.1402043, 11.7875546 48.1400166, 11.7875952 48.1398122), (11.7875952 48.1398122, 11.787603 48.1397731, 11.7876156 48.1397093), (11.7876156 48.1397093, 11.7876387 48.1395121), (11.7876387 48.1395121, 11.787691 48.1391958, 11.7877072 48.1390981), (11.7877467 48.1388601, 11.7878123 48.1388741, 11.7878651 48.1389035, 11.7878975 48.1389441, 11.7879045 48.1389898, 11.7878845 48.139035, 11.7878398 48.1390715, 11.7877775 48.1390937, 11.7877072 48.1390981), (11.7877467 48.1388601, 11.7877618 48.1387693, 11.787935 48.1378001), (11.7877072 48.1390981, 11.787647 48.1390866, 11.7875965 48.139062, 11.7875616 48.1390273, 11.7875467 48.1389868, 11.7875536 48.1389453, 11.7875815 48.1389079, 11.7876268 48.1388791, 11.7876843 48.1388625, 11.7877467 48.1388601), (11.787935 48.1378001, 11.7879644 48.1376357, 11.7882742 48.1360134), (11.7882742 48.1360134, 11.7887255 48.1336505))"
Heubergstraße,Q1616384,85598,4684808,"MULTILINESTRING ((11.7903529 48.0913191, 11.7903966 48.0914267, 11.7905953 48.0921495, 11.7906898 48.0922345))"
Heuweg,Q336989,85646,24927195,"MULTILINESTRING ((11.8195792 48.1500723, 11.8206394 48.150243, 11.820662 48.1503215, 11.8208025 48.1503495, 11.8208722 48.1501902, 11.8206926 48.150155, 11.8206394 48.150243))"
Hirschweg,Q23390,85598,123802792/123802793/123802794/123802795/171050672,"MULTILINESTRING ((11.7954063 48.1052031, 11.7958005 48.1051562), (11.7959423 48.1062918, 11.7959286 48.106169, 11.7958926 48.105983, 11.7958621 48.1057174, 11.7958339 48.1054407, 11.7958005 48.1051562, 11.7957013 48.1043738), (11.795546 48.1057563, 11.7958621 48.1057174), (11.7955676 48.1060245, 11.7958926 48.105983), (11.7955084 48.1054781, 11.7958339 48.1054407))"
Hochfeldweg,,85646,24927049/27486729/27486731/80195931/981185253,"MULTILINESTRING ((11.8147531 48.1473414, 11.8147196 48.1474181), (11.8147196 48.1474181, 11.8145162 48.1478999, 11.8144209 48.1481256, 11.8143375 48.1483232, 11.8141782 48.1487007, 11.8140358 48.1490241, 11.8138574 48.1494292), (11.8138574 48.1494292, 11.8126382 48.1522052), (11.8126382 48.1522052, 11.8124073 48.1527081), (11.8124073 48.1527081, 11.8123777 48.1527782, 11.812147 48.1533249, 11.8119055 48.1538771, 11.8114555 48.1549059, 11.8113853 48.1550664, 11.8113043 48.1552515, 11.8112447 48.1553877))"
Hochkalterstraße,Q883041,85598,4644441,"MULTILINESTRING ((11.7919032 48.0932997, 11.7920361 48.0939192))"
Hochriesstraße,Q1533425,85598,4684811,"MULTILINESTRING ((11.7926278 48.0906514, 11.7920446 48.0908846, 11.7917421 48.0909928, 11.7903529 48.0913191, 11.7894826 48.0914598, 11.7890896 48.0914944))"
