stimmbezirk,stimmbezirkNr,partei,stimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Stimmbezirk 19,19,SPD,916,17,20
Stimmbezirk 19,19,FDP,517,4,9
Stimmbezirk 20,20,CSU,2782,47,73
Stimmbezirk 20,20,FW,703,8,13
Stimmbezirk 20,20,Grüne,1173,20,26
Stimmbezirk 20,20,SPD,1402,31,39
Stimmbezirk 20,20,FDP,567,13,14
Stimmbezirk 21,21,CSU,1938,25,44
Stimmbezirk 21,21,FW,536,12,12
Stimmbezirk 21,21,Grüne,995,14,23
Stimmbezirk 21,21,SPD,1089,15,27
Stimmbezirk 21,21,FDP,246,3,4
Stimmbezirk 22,22,CSU,1244,22,38
Stimmbezirk 22,22,FW,565,9,14
Stimmbezirk 22,22,Grüne,1224,25,39
Stimmbezirk 22,22,SPD,700,11,18
Stimmbezirk 22,22,FDP,241,4,6
Stimmbezirk 23,23,CSU,2786,62,80
Stimmbezirk 23,23,FW,774,15,19
Stimmbezirk 23,23,Grüne,1193,29,32
Stimmbezirk 23,23,SPD,883,17,24
Stimmbezirk 23,23,FDP,432,9,10
Stimmbezirk 24,24,CSU,1687,27,46
Stimmbezirk 24,24,FW,938,21,24
Stimmbezirk 24,24,Grüne,1153,23,27
Stimmbezirk 24,24,SPD,1172,14,26
Stimmbezirk 24,24,FDP,370,6,8
Stimmbezirk 25,25,CSU,2112,31,54
Stimmbezirk 25,25,FW,533,9,13
Stimmbezirk 25,25,Grüne,976,17,23
Stimmbezirk 25,25,SPD,772,12,14
Stimmbezirk 25,25,FDP,478,8,11
Stimmbezirk 31,31,CSU,4678,46,96
Stimmbezirk 31,31,FW,1522,14,22
Stimmbezirk 31,31,Grüne,1793,18,25
Stimmbezirk 31,31,SPD,2412,30,46
Stimmbezirk 31,31,FDP,632,3,9
Stimmbezirk 32,32,CSU,4994,67,124
Stimmbezirk 32,32,FW,1305,17,26
Stimmbezirk 32,32,Grüne,1786,29,38
Stimmbezirk 32,32,SPD,1964,24,37
Stimmbezirk 32,32,FDP,657,5,10
Stimmbezirk 33,33,CSU,4327,56,87
Stimmbezirk 33,33,FW,1583,21,26
Stimmbezirk 33,33,Grüne,2033,35,40
Stimmbezirk 33,33,SPD,2152,28,34
Stimmbezirk 33,33,FDP,809,6,11
Stimmbezirk 34,34,CSU,4002,57,93
Stimmbezirk 34,34,FW,1212,11,13
Stimmbezirk 34,34,Grüne,2240,41,54
Stimmbezirk 34,34,SPD,2174,25,38
Stimmbezirk 34,34,FDP,811,11,12
Stimmbezirk 35,35,CSU,4852,59,99
Stimmbezirk 35,35,FW,1462,21,23
Stimmbezirk 35,35,Grüne,1920,31,35
Stimmbezirk 35,35,SPD,1933,25,36
Stimmbezirk 35,35,FDP,879,8,12
Stimmbezirk 36,36,CSU,4499,50,87
Stimmbezirk 36,36,FW,1200,8,10
Stimmbezirk 36,36,Grüne,2196,28,37
Stimmbezirk 36,36,SPD,2066,23,35
Stimmbezirk 36,36,FDP,531,2,3
Stimmbezirk 37,37,CSU,3757,44,84
Stimmbezirk 37,37,FW,1640,22,30
Stimmbezirk 37,37,Grüne,2209,38,47
Stimmbezirk 37,37,SPD,2191,35,45
Stimmbezirk 37,37,FDP,356,1,2
Stimmbezirk 38,38,CSU,4716,54,100
Stimmbezirk 38,38,FW,1331,14,21
Stimmbezirk 38,38,Grüne,1924,29,34
Stimmbezirk 38,38,SPD,1949,24,33
Stimmbezirk 38,38,FDP,923,12,12
Stimmbezirk 39,39,CSU,4682,70,105
Stimmbezirk 39,39,FW,1613,22,29
Stimmbezirk 39,39,Grüne,1983,27,38
Stimmbezirk 39,39,SPD,1857,25,33
Stimmbezirk 39,39,FDP,764,9,14
Stimmbezirk 40,40,CSU,4277,56,85
Stimmbezirk 40,40,FW,1426,14,16
Stimmbezirk 40,40,Grüne,2103,29,33
Stimmbezirk 40,40,SPD,1860,20,32
Stimmbezirk 40,40,FDP,804,8,13
Stimmbezirk 41,41,CSU,4907,62,107
Stimmbezirk 41,41,FW,1436,13,18
Stimmbezirk 41,41,Grüne,2529,44,52
Stimmbezirk 41,41,SPD,1943,18,28
Stimmbezirk 41,41,FDP,566,8,11
Stimmbezirk 42,42,CSU,5481,68,126
Stimmbezirk 42,42,FW,1236,11,16
Stimmbezirk 42,42,Grüne,2029,23,35
Stimmbezirk 42,42,SPD,2001,24,34
Stimmbezirk 42,42,FDP,502,5,8
Stimmbezirk 43,43,CSU,5216,57,110
Stimmbezirk 43,43,FW,1264,11,15
Stimmbezirk 43,43,Grüne,1879,27,31
Stimmbezirk 43,43,SPD,1929,24,33
Stimmbezirk 43,43,FDP,728,10,10
Stimmbezirk 44,44,CSU,4604,48,93
Stimmbezirk 44,44,FW,1300,17,19
Stimmbezirk 44,44,Grüne,1881,27,33
Stimmbezirk 44,44,SPD,1849,14,25
Stimmbezirk 44,44,FDP,602,8,9
Stimmbezirk 45,45,CSU,4783,50,95
Stimmbezirk 45,45,FW,1882,17,26
Stimmbezirk 45,45,Grüne,2202,32,42
Stimmbezirk 45,45,SPD,2147,19,28
Stimmbezirk 45,45,FDP,600,6,7
Stimmbezirk 46,46,CSU,4308,51,87
Stimmbezirk 46,46,FW,1799,21,29
Stimmbezirk 46,46,Grüne,2003,34,39
Stimmbezirk 46,46,SPD,1955,23,35
Stimmbezirk 46,46,FDP,469,3,4
Stimmbezirk 47,47,CSU,4440,60,91
Stimmbezirk 47,47,FW,1611,18,24
Stimmbezirk 47,47,Grüne,1826,27,32
Stimmbezirk 47,47,SPD,1908,25,32
Stimmbezirk 47,47,FDP,784,9,12
Stimmbezirk 48,48,CSU,4855,67,114
Stimmbezirk 48,48,FW,1791,25,30
Stimmbezirk 48,48,Grüne,1975,28,36
Stimmbezirk 48,48,SPD,2123,28,42
Stimmbezirk 48,48,FDP,673,8,8
Stimmbezirk 49,49,CSU,5050,63,117
Stimmbezirk 49,49,FW,1509,22,27
Stimmbezirk 49,49,Grüne,1916,30,37
Stimmbezirk 49,49,SPD,1982,20,35
Stimmbezirk 49,49,FDP,861,10,11
Stimmbezirk 50,50,CSU,4923,52,91
Stimmbezirk 50,50,FW,1814,19,24
Stimmbezirk 50,50,Grüne,3041,45,57
Stimmbezirk 50,50,SPD,2757,35,47
Stimmbezirk 50,50,FDP,884,9,10
