Stimmbezirk,ParteiKuerzel,Stimmen
Stimmbezirk 8,UNABHÄNGIGE,0
Stimmbezirk 8,Volt,0
Stimmbezirk 9,CSU,107
Stimmbezirk 9,SPD,51
Stimmbezirk 9,AfD,10
Stimmbezirk 9,FDP,25
Stimmbezirk 9,Grüne,49
Stimmbezirk 9,Die Linke,4
Stimmbezirk 9,FW,16
Stimmbezirk 9,ÖDP,3
Stimmbezirk 9,Tierschutzpartei,0
Stimmbezirk 9,BP,5
Stimmbezirk 9,Die PARTEI,0
Stimmbezirk 9,Piraten,0
Stimmbezirk 9,NPD,0
Stimmbezirk 9,V-Partei³,0
Stimmbezirk 9,Gesundheitsforschung,0
Stimmbezirk 9,MLPD,0
Stimmbezirk 9,DKP,0
Stimmbezirk 9,dieBasis,4
Stimmbezirk 9,Bündnis C,0
Stimmbezirk 9,III. Weg,0
Stimmbezirk 9,du.,0
Stimmbezirk 9,LKR,0
Stimmbezirk 9,PdH,0
Stimmbezirk 9,Team Todenhöfer,0
Stimmbezirk 9,UNABHÄNGIGE,0
Stimmbezirk 9,Volt,0
Stimmbezirk 10,CSU,122
Stimmbezirk 10,SPD,38
Stimmbezirk 10,AfD,20
Stimmbezirk 10,FDP,40
Stimmbezirk 10,Grüne,48
Stimmbezirk 10,Die Linke,3
Stimmbezirk 10,FW,11
Stimmbezirk 10,ÖDP,0
Stimmbezirk 10,Tierschutzpartei,0
Stimmbezirk 10,BP,5
Stimmbezirk 10,Die PARTEI,0
Stimmbezirk 10,Piraten,0
Stimmbezirk 10,NPD,0
Stimmbezirk 10,V-Partei³,0
Stimmbezirk 10,Gesundheitsforschung,0
Stimmbezirk 10,MLPD,0
Stimmbezirk 10,DKP,0
Stimmbezirk 10,dieBasis,5
Stimmbezirk 10,Bündnis C,0
Stimmbezirk 10,III. Weg,0
Stimmbezirk 10,du.,0
Stimmbezirk 10,LKR,0
Stimmbezirk 10,PdH,0
Stimmbezirk 10,Team Todenhöfer,0
Stimmbezirk 10,UNABHÄNGIGE,0
Stimmbezirk 10,Volt,0
Stimmbezirk 11,CSU,120
Stimmbezirk 11,SPD,44
Stimmbezirk 11,AfD,10
Stimmbezirk 11,FDP,30
Stimmbezirk 11,Grüne,56
Stimmbezirk 11,Die Linke,5
Stimmbezirk 11,FW,4
Stimmbezirk 11,ÖDP,0
Stimmbezirk 11,Tierschutzpartei,0
Stimmbezirk 11,BP,1
Stimmbezirk 11,Die PARTEI,0
Stimmbezirk 11,Piraten,0
Stimmbezirk 11,NPD,0
Stimmbezirk 11,V-Partei³,0
Stimmbezirk 11,Gesundheitsforschung,0
Stimmbezirk 11,MLPD,0
Stimmbezirk 11,DKP,0
Stimmbezirk 11,dieBasis,5
Stimmbezirk 11,Bündnis C,0
Stimmbezirk 11,III. Weg,0
Stimmbezirk 11,du.,0
Stimmbezirk 11,LKR,0
Stimmbezirk 11,PdH,0
Stimmbezirk 11,Team Todenhöfer,0
Stimmbezirk 11,UNABHÄNGIGE,0
Stimmbezirk 11,Volt,0
Stimmbezirk 12,CSU,140
Stimmbezirk 12,SPD,55
Stimmbezirk 12,AfD,10
Stimmbezirk 12,FDP,44
Stimmbezirk 12,Grüne,72
Stimmbezirk 12,Die Linke,4
Stimmbezirk 12,FW,5
Stimmbezirk 12,ÖDP,4
Stimmbezirk 12,Tierschutzpartei,0
Stimmbezirk 12,BP,3
Stimmbezirk 12,Die PARTEI,0
Stimmbezirk 12,Piraten,0
Stimmbezirk 12,NPD,0
Stimmbezirk 12,V-Partei³,0
Stimmbezirk 12,Gesundheitsforschung,0
Stimmbezirk 12,MLPD,0
Stimmbezirk 12,DKP,0
Stimmbezirk 12,dieBasis,8
Stimmbezirk 12,Bündnis C,0
Stimmbezirk 12,III. Weg,0
Stimmbezirk 12,du.,0
Stimmbezirk 12,LKR,0
Stimmbezirk 12,PdH,0
Stimmbezirk 12,Team Todenhöfer,0
Stimmbezirk 12,UNABHÄNGIGE,0
Stimmbezirk 12,Volt,0
Stimmbezirk 13,CSU,138
Stimmbezirk 13,SPD,23
Stimmbezirk 13,AfD,12
Stimmbezirk 13,FDP,24
Stimmbezirk 13,Grüne,49
Stimmbezirk 13,Die Linke,0
Stimmbezirk 13,FW,12
Stimmbezirk 13,ÖDP,2
