datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-06-29,Impfzentrum,Weiblich,23751,18791,0
2021-06-29,Impfzentrum,Maennlich,19566,14418,0
2021-06-29,Impfzentrum,Divers,18,12,0
2021-06-30,Impfzentrum,Weiblich,23857,19093,0
2021-06-30,Impfzentrum,Maennlich,19672,14674,0
2021-06-30,Impfzentrum,Divers,18,12,0
2021-07-01,Impfzentrum,Weiblich,23946,19393,0
2021-07-01,Impfzentrum,Maennlich,19766,14932,0
2021-07-01,Impfzentrum,Divers,18,12,0
2021-07-02,Impfzentrum,Weiblich,24124,19475,0
2021-07-02,Impfzentrum,Maennlich,20003,15002,0
2021-07-02,Impfzentrum,Divers,19,12,0
2021-07-05,Impfzentrum,Weiblich,24717,19548,0
2021-07-05,Impfzentrum,Maennlich,20681,15130,0
2021-07-05,Impfzentrum,Divers,19,12,0
2021-07-06,Impfzentrum,Weiblich,24879,19613,0
2021-07-06,Impfzentrum,Maennlich,20892,15192,0
2021-07-06,Impfzentrum,Divers,21,12,0
2021-07-07,Impfzentrum,Weiblich,24949,19618,0
2021-07-07,Impfzentrum,Maennlich,20988,15204,0
2021-07-07,Impfzentrum,Divers,21,12,0
2021-07-08,Impfzentrum,Weiblich,24992,19642,0
2021-07-08,Impfzentrum,Maennlich,21039,15227,0
2021-07-08,Impfzentrum,Divers,21,12,0
2021-07-09,Impfzentrum,Weiblich,25043,19787,0
2021-07-09,Impfzentrum,Maennlich,21118,15418,0
2021-07-09,Impfzentrum,Divers,21,12,0
2021-07-12,Impfzentrum,Weiblich,25184,20484,0
2021-07-12,Impfzentrum,Maennlich,21301,16234,0
2021-07-12,Impfzentrum,Divers,21,13,0
2021-07-13,Impfzentrum,Weiblich,25241,20524,0
2021-07-13,Impfzentrum,Maennlich,21380,16276,0
2021-07-13,Impfzentrum,Divers,21,13,0
2021-07-14,Impfzentrum,Weiblich,25303,20537,0
2021-07-14,Impfzentrum,Maennlich,21436,16294,0
2021-07-14,Impfzentrum,Divers,21,13,0
2021-07-15,Impfzentrum,Weiblich,25346,20547,0
2021-07-15,Impfzentrum,Maennlich,21510,16306,0
2021-07-15,Impfzentrum,Divers,21,13,0
2021-07-16,Impfzentrum,Weiblich,25355,20554,0
2021-07-16,Impfzentrum,Maennlich,21541,16317,0
2021-07-16,Impfzentrum,Divers,21,13,0
2021-07-19,Impfzentrum,Weiblich,25367,20557,0
2021-07-19,Impfzentrum,Maennlich,21552,16321,0
2021-07-19,Impfzentrum,Divers,21,13,0
2021-07-20,Impfzentrum,Weiblich,25549,20619,0
2021-07-20,Impfzentrum,Maennlich,21758,16407,0
2021-07-20,Impfzentrum,Divers,21,13,0
2021-07-21,Impfzentrum,Weiblich,25573,20651,0
2021-07-21,Impfzentrum,Maennlich,21787,16431,0
2021-07-21,Impfzentrum,Divers,21,13,0
2021-07-22,Impfzentrum,Weiblich,25580,20667,0
2021-07-22,Impfzentrum,Maennlich,21802,16450,0
2021-07-22,Impfzentrum,Divers,21,13,0
2021-07-23,Impfzentrum,Weiblich,25594,20683,0
2021-07-23,Impfzentrum,Maennlich,21818,16472,0
2021-07-23,Impfzentrum,Divers,21,13,0
2021-07-24,Impfzentrum,Weiblich,25606,20684,0
2021-07-24,Impfzentrum,Maennlich,21828,16483,0
2021-07-24,Impfzentrum,Divers,21,13,0
2021-07-25,Impfzentrum,Weiblich,25668,20727,0
2021-07-25,Impfzentrum,Maennlich,21903,16529,0
2021-07-25,Impfzentrum,Divers,22,13,0
2021-07-26,Impfzentrum,Weiblich,25681,20756,0
2021-07-26,Impfzentrum,Maennlich,21924,16597,0
2021-07-26,Impfzentrum,Divers,22,13,0
2021-07-27,Impfzentrum,Weiblich,25715,20832,0
2021-07-27,Impfzentrum,Maennlich,21958,16718,0
2021-07-27,Impfzentrum,Divers,22,13,0
2021-07-28,Impfzentrum,Weiblich,25748,20914,0
2021-07-28,Impfzentrum,Maennlich,22002,16841,0
2021-07-28,Impfzentrum,Divers,22,13,0
2021-07-29,Impfzentrum,Weiblich,25775,20955,0
2021-07-29,Impfzentrum,Maennlich,22030,16916,0
2021-07-29,Impfzentrum,Divers,22,13,0
2021-07-30,Impfzentrum,Weiblich,25809,20997,0
2021-07-30,Impfzentrum,Maennlich,22079,16969,0
2021-07-30,Impfzentrum,Divers,22,13,0
2021-07-31,Impfzentrum,Weiblich,25872,21089,0
2021-07-31,Impfzentrum,Maennlich,22139,17038,0
2021-07-31,Impfzentrum,Divers,22,13,0
2021-08-01,Impfzentrum,Weiblich,25932,21228,0
2021-08-01,Impfzentrum,Maennlich,22180,17143,0
2021-08-01,Impfzentrum,Divers,23,13,0
2021-08-02,Impfzentrum,Weiblich,26003,21379,0
2021-08-02,Impfzentrum,Maennlich,22261,17303,0
2021-08-02,Impfzentrum,Divers,23,13,0
