datum,einrichtung,altersgruppe,erstimpfungen,zweitimpfungen,drittimpfungen,viertimpfungen
2021-05-09,Impfzentrum,20-29,2205,482,0,0
2021-05-09,Impfzentrum,30-39,3051,688,0,0
2021-05-09,Impfzentrum,40-49,3775,916,0,0
2021-05-09,Impfzentrum,50-59,5430,1317,0,0
2021-05-09,Impfzentrum,60-69,4137,746,0,0
2021-05-09,Impfzentrum,70-79,6754,769,0,0
2021-05-09,Impfzentrum,80+,7516,5991,0,0
2021-05-10,Impfzentrum,0-19,623,156,0,0
2021-05-10,Impfzentrum,20-29,2262,568,0,0
2021-05-10,Impfzentrum,30-39,3124,814,0,0
2021-05-10,Impfzentrum,40-49,3847,1097,0,0
2021-05-10,Impfzentrum,50-59,5552,1585,0,0
2021-05-10,Impfzentrum,60-69,4203,900,0,0
2021-05-10,Impfzentrum,70-79,6789,1142,0,0
2021-05-10,Impfzentrum,80+,7532,6062,0,0
2021-05-11,Impfzentrum,0-19,623,156,0,0
2021-05-11,Impfzentrum,20-29,2262,568,0,0
2021-05-11,Impfzentrum,30-39,3124,814,0,0
2021-05-11,Impfzentrum,40-49,3847,1097,0,0
2021-05-11,Impfzentrum,50-59,5552,1585,0,0
2021-05-11,Impfzentrum,60-69,4203,900,0,0
2021-05-11,Impfzentrum,70-79,6789,1142,0,0
2021-05-11,Impfzentrum,80+,7532,6062,0,0
2021-05-12,Impfzentrum,0-19,659,166,0,0
2021-05-12,Impfzentrum,20-29,2404,614,0,0
2021-05-12,Impfzentrum,30-39,3257,876,0,0
2021-05-12,Impfzentrum,40-49,4000,1184,0,0
2021-05-12,Impfzentrum,50-59,5744,1705,0,0
2021-05-12,Impfzentrum,60-69,4255,987,0,0
2021-05-12,Impfzentrum,70-79,6814,1389,0,0
2021-05-12,Impfzentrum,80+,7538,6078,0,0
2021-05-13,Impfzentrum,0-19,659,166,0,0
2021-05-13,Impfzentrum,20-29,2404,614,0,0
2021-05-13,Impfzentrum,30-39,3257,876,0,0
2021-05-13,Impfzentrum,40-49,4000,1184,0,0
2021-05-13,Impfzentrum,50-59,5744,1705,0,0
2021-05-13,Impfzentrum,60-69,4255,987,0,0
2021-05-13,Impfzentrum,70-79,6814,1389,0,0
2021-05-13,Impfzentrum,80+,7538,6078,0,0
2021-05-14,Impfzentrum,0-19,710,177,0,0
2021-05-14,Impfzentrum,20-29,2559,658,0,0
2021-05-14,Impfzentrum,30-39,3428,936,0,0
2021-05-14,Impfzentrum,40-49,4154,1270,0,0
2021-05-14,Impfzentrum,50-59,5927,1811,0,0
2021-05-14,Impfzentrum,60-69,4321,1033,0,0
2021-05-14,Impfzentrum,70-79,6852,1561,0,0
2021-05-14,Impfzentrum,80+,7544,6084,0,0
2021-05-15,Impfzentrum,0-19,710,177,0,0
2021-05-15,Impfzentrum,20-29,2559,658,0,0
2021-05-15,Impfzentrum,30-39,3428,936,0,0
2021-05-15,Impfzentrum,40-49,4154,1270,0,0
2021-05-15,Impfzentrum,50-59,5927,1811,0,0
2021-05-15,Impfzentrum,60-69,4321,1033,0,0
2021-05-15,Impfzentrum,70-79,6852,1561,0,0
2021-05-15,Impfzentrum,80+,7544,6084,0,0
2021-05-16,Impfzentrum,0-19,710,177,0,0
2021-05-16,Impfzentrum,20-29,2559,658,0,0
2021-05-16,Impfzentrum,30-39,3428,936,0,0
2021-05-16,Impfzentrum,40-49,4154,1270,0,0
2021-05-16,Impfzentrum,50-59,5927,1811,0,0
2021-05-16,Impfzentrum,60-69,4321,1033,0,0
2021-05-16,Impfzentrum,70-79,6852,1561,0,0
2021-05-16,Impfzentrum,80+,7544,6084,0,0
2021-05-17,Impfzentrum,0-19,828,193,0,0
2021-05-17,Impfzentrum,20-29,2936,717,0,0
2021-05-17,Impfzentrum,30-39,3772,1011,0,0
2021-05-17,Impfzentrum,40-49,4589,1343,0,0
2021-05-17,Impfzentrum,50-59,6434,1950,0,0
2021-05-17,Impfzentrum,60-69,4528,1122,0,0
2021-05-17,Impfzentrum,70-79,6897,1780,0,0
2021-05-17,Impfzentrum,80+,7548,6091,0,0
2021-05-18,Impfzentrum,0-19,846,193,0,0
2021-05-18,Impfzentrum,20-29,3002,726,0,0
2021-05-18,Impfzentrum,30-39,3838,1020,0,0
2021-05-18,Impfzentrum,40-49,4675,1353,0,0
2021-05-18,Impfzentrum,50-59,6540,1957,0,0
2021-05-18,Impfzentrum,60-69,4577,1136,0,0
2021-05-18,Impfzentrum,70-79,6907,1866,0,0
2021-05-18,Impfzentrum,80+,7548,6093,0,0
2021-05-19,Impfzentrum,0-19,871,202,0,0
2021-05-19,Impfzentrum,20-29,3067,742,0,0
2021-05-19,Impfzentrum,30-39,3909,1031,0,0
2021-05-19,Impfzentrum,40-49,4738,1370,0,0
