Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
09175122;Grafing;0005;STIMMBEZIRK;Stimmbezirk 5;5;;;N;951;0;0;0;208;208;0;0;0;3;205;85;32;88;
09175122;Grafing;0006;STIMMBEZIRK;Stimmbezirk 6;6;;;N;885;0;0;0;191;191;0;0;0;3;188;86;21;81;
09175122;Grafing;0007;STIMMBEZIRK;Stimmbezirk 7;7;;;N;812;0;0;0;205;205;0;0;0;1;204;90;24;90;
09175122;Grafing;0008;STIMMBEZIRK;Stimmbezirk 8;8;;;N;866;0;0;0;193;193;0;0;0;5;188;69;37;82;
09175122;Grafing;0009;STIMMBEZIRK;Stimmbezirk 9;9;;;N;938;0;0;0;220;220;0;0;0;0;220;98;30;92;
09175122;Grafing;0010;STIMMBEZIRK;Stimmbezirk 10;10;;;N;947;0;0;0;237;237;0;0;0;3;234;101;27;106;
09175122;Grafing;0011;STIMMBEZIRK;Stimmbezirk Elkofen;11;;;N;629;0;0;0;197;197;0;0;0;1;196;111;32;53;
09175122;Grafing;0012;STIMMBEZIRK;Stimmbezirk Grafing-Bahnhof;12;;;N;808;0;0;0;200;200;0;0;0;3;197;77;24;96;
09175122;Grafing;0013;STIMMBEZIRK;Stimmbezirk Straußdorf;13;;;N;624;0;0;0;175;175;0;0;0;5;170;89;29;52;
09175122;Grafing;0101;BRIEFWAHLBEZIRK;Briefwahlbezirk 101;101;;;N;0;0;0;0;253;0;253;0;0;2;251;126;31;94;
09175122;Grafing;0102;BRIEFWAHLBEZIRK;Briefwahlbezirk 102;102;;;N;0;0;0;0;245;0;245;0;0;7;238;148;36;54;
09175122;Grafing;0103;BRIEFWAHLBEZIRK;Briefwahlbezirk 103;103;;;N;0;0;0;0;265;0;265;0;0;8;257;134;33;90;
09175122;Grafing;0104;BRIEFWAHLBEZIRK;Briefwahlbezirk 104;104;;;N;0;0;0;0;239;0;239;0;0;3;236;133;16;87;
09175122;Grafing;0105;BRIEFWAHLBEZIRK;Briefwahlbezirk 105;105;;;N;0;0;0;0;247;0;247;0;0;5;242;132;17;93;
09175122;Grafing;0106;BRIEFWAHLBEZIRK;Briefwahlbezirk 106;106;;;N;0;0;0;0;248;0;248;0;0;5;243;121;28;94;
09175122;Grafing;0107;BRIEFWAHLBEZIRK;Briefwahlbezirk 107;107;;;N;0;0;0;0;253;0;253;0;0;2;251;135;26;90;
09175122;Grafing;0108;BRIEFWAHLBEZIRK;Briefwahlbezirk 108;108;;;N;0;0;0;0;247;0;247;0;0;9;238;128;23;87;
09175122;Grafing;0109;BRIEFWAHLBEZIRK;Briefwahlbezirk 109;109;;;N;0;0;0;0;248;0;248;0;0;4;244;142;22;80;
09175122;Grafing;0110;BRIEFWAHLBEZIRK;Briefwahlbezirk 110;110;;;N;0;0;0;0;243;0;243;0;0;2;241;137;24;80;
09175122;Grafing;0111;BRIEFWAHLBEZIRK;Briefwahlbezirk 111;111;;;N;0;0;0;0;257;0;257;0;0;6;251;121;33;97;
09175122;Grafing;0112;BRIEFWAHLBEZIRK;Briefwahlbezirk 112;112;;;N;0;0;0;0;237;0;237;0;0;1;236;154;13;69;
09175122;Grafing;0113;BRIEFWAHLBEZIRK;Briefwahlbezirk 113;113;;;N;0;0;0;0;237;0;237;0;0;3;234;124;28;82;
09175122;Grafing;0114;BRIEFWAHLBEZIRK;Briefwahlbezirk 114;114;;;N;0;0;0;0;229;0;229;0;0;4;225;122;22;81;
09175122;Grafing;0115;BRIEFWAHLBEZIRK;Briefwahlbezirk 115;115;;;N;0;0;0;0;228;0;228;0;0;9;219;114;16;89;
09175122;Grafing;0116;BRIEFWAHLBEZIRK;Briefwahlbezirk 116;116;;;N;0;0;0;0;227;0;227;0;0;4;223;111;19;93;
09175122;Grafing;0117;BRIEFWAHLBEZIRK;Briefwahlbezirk 117;117;;;N;0;0;0;0;232;0;232;0;0;6;226;125;15;86;
09175122;Grafing;0118;BRIEFWAHLBEZIRK;Briefwahlbezirk 118;118;;;N;0;0;0;0;236;0;236;0;0;5;231;136;25;70;
09175122;Grafing;0119;BRIEFWAHLBEZIRK;Briefwahlbezirk 119;119;;;N;0;0;0;0;229;0;229;0;0;3;226;108;28;90;
09175122;Grafing;0120;BRIEFWAHLBEZIRK;Briefwahlbezirk 120;120;;;N;0;0;0;0;236;0;236;0;0;1;235;109;23;103;
09175123;Hohenlinden;09175123;GEMEINDE;Hohenlinden;;;;N;2814;0;0;0;1849;528;1321;0;0;40;1809;1146;322;341;
09175123;Hohenlinden;091751230001;STIMMBEZIRK;Gemeindegebiet Hohenlinden - ohne Ort Hohenlinden;0001;;;N;1121;0;0;0;217;217;0;0;0;4;213;107;62;44;
09175123;Hohenlinden;091751230002;STIMMBEZIRK;Ort Hohenlinden - Straßen A-I (Abtwiese - Isener Straße);0002;;;N;1013;0;0;0;190;190;0;0;0;6;184;80;57;47;
09175123;Hohenlinden;091751230003;STIMMBEZIRK;Ort Hohenlinden - Straßen J-U (Josef-Katterloher-Ring - Untere Steinstraße);0003;;;N;680;0;0;0;121;121;0;0;0;2;119;73;18;28;
09175123;Hohenlinden;091751230011;BRIEFWAHLBEZIRK;Briefwahlbezirk 11;0011;;;N;0;0;0;0;198;0;198;0;0;6;192;144;20;28;
09175123;Hohenlinden;091751230012;BRIEFWAHLBEZIRK;Briefwahlbezirk 12;0012;;;N;0;0;0;0;196;0;196;0;0;5;191;131;26;34;
