Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
BRIEFWAHLBEZIRK;091751360031;0;0;0;0;288;0;280;8;CSU;194;AfD;43;GRÜNE;43;
BRIEFWAHLBEZIRK;091751360032;0;0;0;0;282;0;276;6;CSU;185;AfD;47;GRÜNE;44;
STIMMBEZIRK;091751370001;0;0;0;295;0;0;290;5;CSU;143;AfD;94;GRÜNE;53;
STIMMBEZIRK;091751370002;0;0;0;442;0;0;437;5;CSU;218;AfD;87;GRÜNE;132;
BRIEFWAHLBEZIRK;091751370011;0;0;0;0;404;0;399;5;CSU;228;AfD;59;GRÜNE;112;
BRIEFWAHLBEZIRK;091751370012;0;0;0;0;406;0;394;12;CSU;239;AfD;61;GRÜNE;94;
BRIEFWAHLBEZIRK;091751370013;0;0;0;0;403;0;394;9;CSU;238;AfD;57;GRÜNE;99;
BRIEFWAHLBEZIRK;091751370014;0;0;0;0;402;0;394;8;CSU;236;AfD;60;GRÜNE;98;
STIMMBEZIRK;091751390001;0;0;0;314;0;0;312;2;CSU;170;AfD;102;GRÜNE;40;
STIMMBEZIRK;091751390002;0;0;0;310;0;0;308;2;CSU;169;AfD;39;GRÜNE;100;
STIMMBEZIRK;091751390003;0;0;0;246;0;0;244;2;CSU;118;AfD;24;GRÜNE;102;
STIMMBEZIRK;091751390004;0;0;0;274;0;0;268;6;CSU;114;AfD;33;GRÜNE;121;
STIMMBEZIRK;091751390005;0;0;0;283;0;0;279;4;CSU;143;AfD;34;GRÜNE;102;
STIMMBEZIRK;091751390006;0;0;0;242;0;0;240;2;CSU;117;AfD;39;GRÜNE;84;
STIMMBEZIRK;091751390007;0;0;0;262;0;0;260;2;CSU;139;AfD;17;GRÜNE;104;
STIMMBEZIRK;091751390008;0;0;0;287;0;0;285;2;CSU;136;AfD;21;GRÜNE;128;
BRIEFWAHLBEZIRK;091751390021;0;0;0;0;385;0;382;3;CSU;217;AfD;24;GRÜNE;141;
BRIEFWAHLBEZIRK;091751390022;0;0;0;0;377;0;374;3;CSU;203;AfD;32;GRÜNE;139;
BRIEFWAHLBEZIRK;091751390023;0;0;0;0;382;0;379;3;CSU;228;AfD;32;GRÜNE;119;
BRIEFWAHLBEZIRK;091751390024;0;0;0;0;374;0;368;6;CSU;231;AfD;45;GRÜNE;92;
BRIEFWAHLBEZIRK;091751390025;0;0;0;0;374;0;368;6;CSU;198;AfD;36;GRÜNE;134;
BRIEFWAHLBEZIRK;091751390026;0;0;0;0;379;0;377;2;CSU;250;AfD;20;GRÜNE;107;
BRIEFWAHLBEZIRK;091751390027;0;0;0;0;379;0;377;2;CSU;197;AfD;37;GRÜNE;143;
BRIEFWAHLBEZIRK;091751390028;0;0;0;0;419;0;415;4;CSU;252;AfD;38;GRÜNE;125;
