Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
STIMMBEZIRK;091751270005;0;0;0;302;0;0;297;5;CSU;123;AfD;40;GRÜNE;134;
STIMMBEZIRK;091751270006;0;0;0;238;0;0;234;4;CSU;105;AfD;42;GRÜNE;87;
STIMMBEZIRK;091751270007;0;0;0;241;0;0;241;0;CSU;104;AfD;32;GRÜNE;105;
STIMMBEZIRK;091751270008;0;0;0;219;0;0;218;1;CSU;93;AfD;33;GRÜNE;92;
STIMMBEZIRK;091751270009;0;0;0;233;0;0;229;4;CSU;103;AfD;29;GRÜNE;97;
STIMMBEZIRK;091751270010;0;0;0;209;0;0;206;3;CSU;104;AfD;23;GRÜNE;79;
BRIEFWAHLBEZIRK;091751270021;0;0;0;0;337;0;329;8;CSU;173;AfD;48;GRÜNE;108;
BRIEFWAHLBEZIRK;091751270022;0;0;0;0;295;0;289;6;CSU;165;AfD;35;GRÜNE;89;
BRIEFWAHLBEZIRK;091751270023;0;0;0;0;282;0;276;6;CSU;153;AfD;35;GRÜNE;88;
BRIEFWAHLBEZIRK;091751270024;0;0;0;0;331;0;323;8;CSU;171;AfD;36;GRÜNE;116;
BRIEFWAHLBEZIRK;091751270025;0;0;0;0;336;0;332;4;CSU;198;AfD;25;GRÜNE;109;
BRIEFWAHLBEZIRK;091751270026;0;0;0;0;329;0;321;8;CSU;171;AfD;44;GRÜNE;106;
BRIEFWAHLBEZIRK;091751270027;0;0;0;0;336;0;330;6;CSU;172;AfD;39;GRÜNE;119;
BRIEFWAHLBEZIRK;091751270028;0;0;0;0;334;0;330;4;CSU;184;AfD;42;GRÜNE;104;
BRIEFWAHLBEZIRK;091751270029;0;0;0;0;333;0;324;9;CSU;171;AfD;35;GRÜNE;118;
BRIEFWAHLBEZIRK;091751270030;0;0;0;0;337;0;332;5;CSU;181;AfD;36;GRÜNE;115;
STIMMBEZIRK;091751280501;0;0;0;461;0;0;452;9;CSU;244;AfD;74;GRÜNE;134;
BRIEFWAHLBEZIRK;091751280511;0;0;0;0;219;0;211;8;CSU;124;AfD;21;GRÜNE;66;
BRIEFWAHLBEZIRK;091751280512;0;0;0;0;233;0;231;2;CSU;135;AfD;33;GRÜNE;63;
STIMMBEZIRK;091751310601;0;0;0;264;0;0;260;4;CSU;149;AfD;45;GRÜNE;66;
STIMMBEZIRK;091751310602;0;0;0;338;0;0;336;2;CSU;177;AfD;58;GRÜNE;101;
BRIEFWAHLBEZIRK;091751310611;0;0;0;0;366;0;349;17;CSU;235;AfD;43;GRÜNE;71;
BRIEFWAHLBEZIRK;091751310612;0;0;0;0;347;0;342;5;CSU;196;AfD;42;GRÜNE;104;
STIMMBEZIRK;091751320001;0;0;0;244;0;0;240;4;CSU;151;AfD;38;GRÜNE;51;
STIMMBEZIRK;091751320002;0;0;0;149;0;0;147;2;CSU;101;AfD;18;GRÜNE;28;
STIMMBEZIRK;091751320003;0;0;0;317;0;0;311;6;CSU;192;AfD;54;GRÜNE;65;
STIMMBEZIRK;091751320004;0;0;0;226;0;0;225;1;CSU;135;AfD;22;GRÜNE;68;
STIMMBEZIRK;091751320005;0;0;0;181;0;0;179;2;CSU;99;AfD;15;GRÜNE;65;
STIMMBEZIRK;091751320006;0;0;0;240;0;0;236;4;CSU;128;AfD;34;GRÜNE;74;
STIMMBEZIRK;091751320007;0;0;0;264;0;0;261;3;CSU;163;AfD;31;GRÜNE;67;
STIMMBEZIRK;091751320008;0;0;0;200;0;0;198;2;CSU;102;AfD;28;GRÜNE;68;
STIMMBEZIRK;091751320009;0;0;0;218;0;0;217;1;CSU;135;AfD;21;GRÜNE;61;
STIMMBEZIRK;091751320010;0;0;0;235;0;0;232;3;CSU;133;AfD;21;GRÜNE;78;
STIMMBEZIRK;091751320011;0;0;0;193;0;0;192;1;CSU;111;AfD;20;GRÜNE;61;
STIMMBEZIRK;091751320012;0;0;0;148;0;0;146;2;CSU;96;AfD;16;GRÜNE;34;
STIMMBEZIRK;091751320013;0;0;0;208;0;0;204;4;CSU;107;AfD;28;GRÜNE;69;
STIMMBEZIRK;091751320014;0;0;0;228;0;0;225;3;CSU;121;AfD;27;GRÜNE;77;
STIMMBEZIRK;091751320015;0;0;0;183;0;0;183;0;CSU;108;AfD;22;GRÜNE;53;
STIMMBEZIRK;091751320016;0;0;0;147;0;0;145;2;CSU;82;AfD;13;GRÜNE;50;
STIMMBEZIRK;091751320017;0;0;0;165;0;0;163;2;CSU;93;AfD;18;GRÜNE;52;
STIMMBEZIRK;091751320018;0;0;0;189;0;0;187;2;CSU;120;AfD;15;GRÜNE;52;
STIMMBEZIRK;091751320019;0;0;0;185;0;0;185;0;CSU;120;AfD;16;GRÜNE;49;
STIMMBEZIRK;091751320020;0;0;0;242;0;0;239;3;CSU;158;AfD;16;GRÜNE;65;
STIMMBEZIRK;091751320021;0;0;0;172;0;0;170;2;CSU;102;AfD;18;GRÜNE;50;
STIMMBEZIRK;091751320022;0;0;0;153;0;0;152;1;CSU;82;AfD;22;GRÜNE;48;
STIMMBEZIRK;091751320023;0;0;0;223;0;0;222;1;CSU;140;AfD;26;GRÜNE;56;
STIMMBEZIRK;091751320024;0;0;0;194;0;0;191;3;CSU;112;AfD;26;GRÜNE;53;
STIMMBEZIRK;091751320025;0;0;0;177;0;0;173;4;CSU;122;AfD;10;GRÜNE;41;
BRIEFWAHLBEZIRK;091751320031;0;0;0;0;389;0;384;5;CSU;261;AfD;20;GRÜNE;103;
BRIEFWAHLBEZIRK;091751320032;0;0;0;0;383;0;375;8;CSU;272;AfD;23;GRÜNE;80;
BRIEFWAHLBEZIRK;091751320033;0;0;0;0;387;0;385;2;CSU;265;AfD;28;GRÜNE;92;
BRIEFWAHLBEZIRK;091751320034;0;0;0;0;369;0;367;2;CSU;226;AfD;32;GRÜNE;109;
BRIEFWAHLBEZIRK;091751320035;0;0;0;0;401;0;396;5;CSU;289;AfD;20;GRÜNE;87;
BRIEFWAHLBEZIRK;091751320036;0;0;0;0;370;0;366;4;CSU;259;AfD;12;GRÜNE;95;
BRIEFWAHLBEZIRK;091751320037;0;0;0;0;366;0;363;3;CSU;227;AfD;33;GRÜNE;103;
BRIEFWAHLBEZIRK;091751320038;0;0;0;0;383;0;380;3;CSU;256;AfD;27;GRÜNE;97;
BRIEFWAHLBEZIRK;091751320039;0;0;0;0;393;0;386;7;CSU;246;AfD;42;GRÜNE;98;
BRIEFWAHLBEZIRK;091751320040;0;0;0;0;365;0;362;3;CSU;238;AfD;24;GRÜNE;100;
BRIEFWAHLBEZIRK;091751320041;0;0;0;0;400;0;399;1;CSU;267;AfD;24;GRÜNE;108;
BRIEFWAHLBEZIRK;091751320042;0;0;0;0;395;0;390;5;CSU;289;AfD;21;GRÜNE;80;
BRIEFWAHLBEZIRK;091751320043;0;0;0;0;385;0;381;4;CSU;267;AfD;24;GRÜNE;90;
BRIEFWAHLBEZIRK;091751320044;0;0;0;0;362;0;362;0;CSU;248;AfD;23;GRÜNE;91;
BRIEFWAHLBEZIRK;091751320045;0;0;0;0;411;0;409;2;CSU;294;AfD;26;GRÜNE;89;
BRIEFWAHLBEZIRK;091751320046;0;0;0;0;380;0;370;10;CSU;239;AfD;34;GRÜNE;97;
BRIEFWAHLBEZIRK;091751320047;0;0;0;0;373;0;367;6;CSU;236;AfD;25;GRÜNE;106;
BRIEFWAHLBEZIRK;091751320048;0;0;0;0;415;0;413;2;CSU;274;AfD;34;GRÜNE;105;
BRIEFWAHLBEZIRK;091751320049;0;0;0;0;403;0;397;6;CSU;263;AfD;31;GRÜNE;103;
BRIEFWAHLBEZIRK;091751320050;0;0;0;0;472;0;467;5;CSU;328;AfD;16;GRÜNE;123;
STIMMBEZIRK;091751330001;0;0;0;247;0;0;241;6;CSU;123;AfD;58;GRÜNE;60;
STIMMBEZIRK;091751330002;0;0;0;343;0;0;337;6;CSU;184;AfD;51;GRÜNE;102;
STIMMBEZIRK;091751330003;0;0;0;296;0;0;294;2;CSU;144;AfD;63;GRÜNE;87;
STIMMBEZIRK;091751330004;0;0;0;288;0;0;281;7;CSU;204;AfD;28;GRÜNE;49;
STIMMBEZIRK;091751330005;0;0;0;286;0;0;286;0;CSU;152;AfD;54;GRÜNE;80;
BRIEFWAHLBEZIRK;091751330011;0;0;0;0;313;0;309;4;CSU;204;AfD;27;GRÜNE;78;
BRIEFWAHLBEZIRK;091751330012;0;0;0;0;318;0;315;3;CSU;202;AfD;28;GRÜNE;85;
BRIEFWAHLBEZIRK;091751330013;0;0;0;0;305;0;302;3;CSU;180;AfD;45;GRÜNE;77;
BRIEFWAHLBEZIRK;091751330014;0;0;0;0;317;0;311;6;CSU;190;AfD;35;GRÜNE;86;
BRIEFWAHLBEZIRK;091751330015;0;0;0;0;318;0;316;2;CSU;199;AfD;38;GRÜNE;79;
BRIEFWAHLBEZIRK;091751330016;0;0;0;0;302;0;297;5;CSU;173;AfD;36;GRÜNE;88;
STIMMBEZIRK;091751350001;0;0;0;219;0;0;219;0;CSU;137;AfD;29;GRÜNE;53;
STIMMBEZIRK;091751350002;0;0;0;210;0;0;202;8;CSU;128;AfD;23;GRÜNE;51;
STIMMBEZIRK;091751350003;0;0;0;196;0;0;193;3;CSU;97;AfD;36;GRÜNE;60;
STIMMBEZIRK;091751350004;0;0;0;186;0;0;184;2;CSU;107;AfD;32;GRÜNE;45;
STIMMBEZIRK;091751350005;0;0;0;209;0;0;205;4;CSU;121;AfD;28;GRÜNE;56;
STIMMBEZIRK;091751350006;0;0;0;195;0;0;194;1;CSU;106;AfD;26;GRÜNE;62;
STIMMBEZIRK;091751350007;0;0;0;197;0;0;195;2;CSU;97;AfD;37;GRÜNE;61;
STIMMBEZIRK;091751350008;0;0;0;234;0;0;227;7;CSU;117;AfD;35;GRÜNE;75;
STIMMBEZIRK;091751350009;0;0;0;184;0;0;182;2;CSU;82;AfD;31;GRÜNE;69;
STIMMBEZIRK;091751350010;0;0;0;221;0;0;215;6;CSU;123;AfD;26;GRÜNE;66;
STIMMBEZIRK;091751350011;0;0;0;270;0;0;266;4;CSU;133;AfD;24;GRÜNE;109;
STIMMBEZIRK;091751350012;0;0;0;243;0;0;243;0;CSU;112;AfD;49;GRÜNE;82;
STIMMBEZIRK;091751350013;0;0;0;249;0;0;248;1;CSU;115;AfD;29;GRÜNE;104;
STIMMBEZIRK;091751350014;0;0;0;224;0;0;222;2;CSU;121;AfD;29;GRÜNE;72;
STIMMBEZIRK;091751350015;0;0;0;274;0;0;271;3;CSU;151;AfD;33;GRÜNE;87;
BRIEFWAHLBEZIRK;091751350021;0;0;0;0;412;0;402;10;CSU;232;AfD;38;GRÜNE;132;
BRIEFWAHLBEZIRK;091751350022;0;0;0;0;387;0;384;3;CSU;210;AfD;30;GRÜNE;144;
BRIEFWAHLBEZIRK;091751350023;0;0;0;0;385;0;380;5;CSU;223;AfD;40;GRÜNE;117;
BRIEFWAHLBEZIRK;091751350024;0;0;0;0;390;0;386;4;CSU;240;AfD;30;GRÜNE;116;
BRIEFWAHLBEZIRK;091751350025;0;0;0;0;395;0;391;4;CSU;264;AfD;44;GRÜNE;83;
BRIEFWAHLBEZIRK;091751350026;0;0;0;0;401;0;398;3;CSU;229;AfD;38;GRÜNE;131;
BRIEFWAHLBEZIRK;091751350027;0;0;0;0;447;0;438;9;CSU;270;AfD;40;GRÜNE;128;
BRIEFWAHLBEZIRK;091751350028;0;0;0;0;415;0;410;5;CSU;258;AfD;34;GRÜNE;118;
BRIEFWAHLBEZIRK;091751350029;0;0;0;0;388;0;380;8;CSU;235;AfD;44;GRÜNE;101;
BRIEFWAHLBEZIRK;091751350030;0;0;0;0;391;0;388;3;CSU;223;AfD;44;GRÜNE;121;
STIMMBEZIRK;091751360003;0;0;0;332;0;0;330;2;CSU;189;AfD;75;GRÜNE;66;
