Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
STIMMBEZIRK;091751320013;377;340;0;208;0;0;206;2;CSU/FDP;82;FREIE WÄHLER;22;GRÜNE;25;SPD;77;
STIMMBEZIRK;091751320014;446;359;0;228;0;0;228;0;CSU/FDP;79;FREIE WÄHLER;34;GRÜNE;24;SPD;91;
STIMMBEZIRK;091751320015;324;302;0;183;0;0;179;4;CSU/FDP;56;FREIE WÄHLER;32;GRÜNE;8;SPD;83;
STIMMBEZIRK;091751320016;450;252;0;148;0;0;145;3;CSU/FDP;42;FREIE WÄHLER;19;GRÜNE;18;SPD;66;
STIMMBEZIRK;091751320017;403;405;0;165;0;0;162;3;CSU/FDP;72;FREIE WÄHLER;11;GRÜNE;17;SPD;62;
STIMMBEZIRK;091751320018;327;321;0;189;0;0;189;0;CSU/FDP;90;FREIE WÄHLER;27;GRÜNE;13;SPD;59;
STIMMBEZIRK;091751320019;323;339;0;184;0;0;184;0;CSU/FDP;96;FREIE WÄHLER;11;GRÜNE;24;SPD;53;
STIMMBEZIRK;091751320020;410;361;0;239;3;0;238;4;CSU/FDP;105;FREIE WÄHLER;24;GRÜNE;25;SPD;84;
STIMMBEZIRK;091751320021;347;321;0;172;1;0;170;3;CSU/FDP;76;FREIE WÄHLER;15;GRÜNE;21;SPD;58;
STIMMBEZIRK;091751320022;395;310;0;153;0;0;151;2;CSU/FDP;50;FREIE WÄHLER;18;GRÜNE;29;SPD;54;
STIMMBEZIRK;091751320023;484;282;0;223;0;0;220;3;CSU/FDP;106;FREIE WÄHLER;30;GRÜNE;26;SPD;58;
STIMMBEZIRK;091751320024;386;337;0;194;0;0;193;1;CSU/FDP;63;FREIE WÄHLER;29;GRÜNE;25;SPD;76;
STIMMBEZIRK;091751320025;329;334;0;176;1;0;175;2;CSU/FDP;86;FREIE WÄHLER;24;GRÜNE;16;SPD;49;
BRIEFWAHLBEZIRK;091751320031;0;0;0;0;389;0;388;1;CSU/FDP;179;FREIE WÄHLER;35;GRÜNE;29;SPD;145;
BRIEFWAHLBEZIRK;091751320032;0;0;0;0;381;0;377;4;CSU/FDP;179;FREIE WÄHLER;29;GRÜNE;27;SPD;142;
BRIEFWAHLBEZIRK;091751320033;0;0;0;0;387;0;383;4;CSU/FDP;167;FREIE WÄHLER;36;GRÜNE;34;SPD;146;
BRIEFWAHLBEZIRK;091751320034;0;0;0;0;369;0;368;1;CSU/FDP;155;FREIE WÄHLER;33;GRÜNE;40;SPD;140;
BRIEFWAHLBEZIRK;091751320035;0;0;0;0;401;0;401;0;CSU/FDP;180;FREIE WÄHLER;36;GRÜNE;28;SPD;157;
BRIEFWAHLBEZIRK;091751320036;0;0;0;0;370;0;368;2;CSU/FDP;160;FREIE WÄHLER;25;GRÜNE;42;SPD;141;
BRIEFWAHLBEZIRK;091751320037;0;0;0;0;365;0;363;2;CSU/FDP;133;FREIE WÄHLER;48;GRÜNE;39;SPD;143;
BRIEFWAHLBEZIRK;091751320038;0;0;0;0;383;0;383;0;CSU/FDP;180;FREIE WÄHLER;34;GRÜNE;37;SPD;132;
BRIEFWAHLBEZIRK;091751320039;0;0;0;0;393;0;391;2;CSU/FDP;192;FREIE WÄHLER;50;GRÜNE;37;SPD;112;
BRIEFWAHLBEZIRK;091751320040;0;0;0;0;365;0;362;3;CSU/FDP;150;FREIE WÄHLER;41;GRÜNE;39;SPD;132;
BRIEFWAHLBEZIRK;091751320041;0;0;0;0;401;0;400;1;CSU/FDP;174;FREIE WÄHLER;40;GRÜNE;51;SPD;135;
BRIEFWAHLBEZIRK;091751320042;0;0;0;0;395;0;390;5;CSU/FDP;186;FREIE WÄHLER;31;GRÜNE;26;SPD;147;
BRIEFWAHLBEZIRK;091751320043;0;0;0;0;385;0;384;1;CSU/FDP;188;FREIE WÄHLER;39;GRÜNE;27;SPD;130;
BRIEFWAHLBEZIRK;091751320044;0;0;0;0;364;0;362;2;CSU/FDP;163;FREIE WÄHLER;35;GRÜNE;35;SPD;129;
BRIEFWAHLBEZIRK;091751320045;0;0;0;0;411;0;411;0;CSU/FDP;170;FREIE WÄHLER;44;GRÜNE;44;SPD;153;
BRIEFWAHLBEZIRK;091751320046;0;0;0;0;380;0;379;1;CSU/FDP;165;FREIE WÄHLER;48;GRÜNE;35;SPD;131;
BRIEFWAHLBEZIRK;091751320047;0;0;0;0;374;0;374;0;CSU/FDP;164;FREIE WÄHLER;37;GRÜNE;18;SPD;155;
BRIEFWAHLBEZIRK;091751320048;0;0;0;0;414;0;412;2;CSU/FDP;196;FREIE WÄHLER;44;GRÜNE;37;SPD;135;
BRIEFWAHLBEZIRK;091751320049;0;0;0;0;403;0;401;2;CSU/FDP;188;FREIE WÄHLER;47;GRÜNE;28;SPD;138;
BRIEFWAHLBEZIRK;091751320050;0;0;0;0;472;0;470;2;CSU/FDP;183;FREIE WÄHLER;50;GRÜNE;63;SPD;174;
