Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;801 (Schmid);802 (Böning-Görlach);803 (Boegelein);804 (Koplin);805 (Lügering);806 (Heimisch);807 (Münnich);808 (Bleiel);809 (Eichmeier);810 (Bouderka);811 (Striewski);812 (Großner);813 (Lütje);814 (Munk);815 (Krieg);816 (Siegert);817 (Lindenthal);818 (Maas);819 (Pleitner);820 (Schärtl);821 (Schmidt-Behounek);822 (Haag);823 (Weyh);824 (Ottinger);825 (Huppertz)
STIMMBEZIRK;0003;413;422;0;198;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;42;32;32;31;31;37;34;40;31;37;31;34;31;31;37;31;30;22;13;13;13;16;13;15;13
STIMMBEZIRK;0004;486;408;0;201;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;50;40;51;40;41;43;39;52;41;40;31;28;27;28;30;28;29;20;11;8;9;12;8;16;9
STIMMBEZIRK;0005;514;437;0;208;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;59;51;54;51;51;52;54;55;51;51;58;51;54;53;48;50;48;31;15;15;17;15;17;18;14
STIMMBEZIRK;0006;429;457;0;188;3;0;URNE;ERFASSUNGSEINHEIT;Die Linke;53;48;51;49;49;46;45;47;40;40;44;39;42;36;36;38;38;24;12;13;13;12;12;13;11
STIMMBEZIRK;0007;449;363;0;205;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;78;72;69;69;72;69;75;75;72;72;72;72;72;72;72;75;75;48;25;24;24;25;24;24;24
STIMMBEZIRK;0008;463;403;0;192;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;55;48;45;48;48;51;48;46;45;45;42;42;42;42;42;39;38;24;13;13;13;14;13;14;14
STIMMBEZIRK;0009;503;435;0;219;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;29;27;27;25;25;22;24;27;24;21;18;21;18;18;18;17;15;10;5;5;5;5;5;8;5
STIMMBEZIRK;0010;493;457;0;237;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;72;63;69;60;69;66;66;67;60;57;57;60;63;57;54;54;51;34;17;17;17;17;17;17;20
STIMMBEZIRK;0011;391;238;0;197;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;26;27;26;24;24;21;21;22;21;21;24;21;21;24;21;21;21;14;10;7;7;13;7;10;7
STIMMBEZIRK;0012;454;354;0;200;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;24;18;21;18;19;18;19;22;18;18;18;18;15;15;15;15;16;11;8;5;8;8;5;9;6
STIMMBEZIRK;0013;327;297;0;175;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;19;16;16;16;13;13;13;20;13;14;13;14;13;13;13;17;13;10;5;5;5;6;5;6;5
STIMMBEZIRK;091751230001;536;585;0;217;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;21;18;15;15;15;18;15;15;15;15;15;16;15;15;15;15;15;8;5;4;5;9;5;5;5
STIMMBEZIRK;091751230002;568;445;0;190;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;13;12;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;3;3;3;3;3;3;3
STIMMBEZIRK;091751230003;329;351;0;121;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;15;15;15;13;12;12;12;12;12;12;12;12;12;12;12;12;12;8;4;4;4;4;4;4;4
STIMMBEZIRK;091751240001;615;394;0;246;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;28;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;15;8;8;8;8;8;8;8
STIMMBEZIRK;091751240002;519;340;0;221;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;30;30;33;30;27;27;30;27;27;27;27;30;27;27;27;27;18;9;9;9;9;9;12;9
STIMMBEZIRK;091751240003;829;393;0;283;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;47;42;43;51;40;40;41;42;39;39;40;41;39;39;39;40;40;26;13;13;13;13;13;16;13
STIMMBEZIRK;091751240004;705;402;0;314;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;54;54;57;55;51;54;54;54;51;51;53;51;51;51;51;51;54;32;18;18;16;17;16;17;17
STIMMBEZIRK;091751240005;502;314;0;228;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;29;25;27;25;25;25;28;28;23;26;25;25;28;25;25;22;25;16;8;8;8;9;8;12;11
STIMMBEZIRK;091751240006;566;329;0;219;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;48;48;48;48;48;48;48;48;48;51;48;48;48;48;48;48;48;31;16;14;14;17;13;16;14
STIMMBEZIRK;091751240007;590;219;0;189;2;0;URNE;ERFASSUNGSEINHEIT;Die Linke;45;45;45;45;42;42;42;42;42;42;39;39;39;39;39;39;39;26;13;12;12;12;12;12;12
STIMMBEZIRK;091751240008;669;356;0;230;3;0;URNE;ERFASSUNGSEINHEIT;Die Linke;56;53;56;56;53;50;50;53;50;50;49;49;49;49;49;49;49;33;17;17;17;17;17;17;17
STIMMBEZIRK;091751270001;666;282;0;196;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;27;34;27;24;27;28;27;27;24;28;27;24;24;24;24;24;24;16;8;8;8;8;8;8;8
STIMMBEZIRK;091751270002;683;272;0;153;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;48;54;42;42;45;42;42;42;42;48;42;36;42;36;36;39;39;25;14;11;11;14;11;14;11
STIMMBEZIRK;091751270003;628;324;0;231;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;56;55;46;43;43;43;43;46;43;43;43;43;40;40;43;43;40;26;13;13;12;12;12;15;12
STIMMBEZIRK;091751270004;656;327;0;213;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;25;28;24;24;24;21;22;21;21;24;22;21;24;18;18;21;18;13;6;6;6;7;7;7;7
STIMMBEZIRK;091751270005;664;329;0;302;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;53;65;53;50;53;52;49;52;49;56;51;48;48;48;48;48;45;30;15;15;14;14;15;15;15
STIMMBEZIRK;091751270006;535;445;0;238;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;51;54;45;42;42;42;39;39;39;42;39;39;39;36;39;36;39;22;11;12;12;10;10;12;12
STIMMBEZIRK;091751270007;567;393;0;240;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;32;38;33;32;32;33;30;33;33;34;33;30;33;30;33;33;32;21;11;11;10;11;10;11;10
STIMMBEZIRK;091751270008;654;313;0;219;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;21;31;20;14;20;21;17;28;14;27;16;12;15;12;14;20;17;12;13;6;4;14;4;8;8
STIMMBEZIRK;091751270009;580;393;0;232;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;46;33;36;33;33;33;36;42;33;42;39;37;36;39;33;37;36;22;11;11;11;11;11;11;11
STIMMBEZIRK;091751270010;610;362;0;209;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;38;42;27;30;24;27;24;26;25;28;18;21;22;18;19;20;18;12;6;6;6;6;6;8;6
STIMMBEZIRK;091751320001;622;348;0;244;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;7;6;6;6;6;12;6;7;6;6;7;6;6;7;6;6;6;4;2;2;2;2;2;2;3
STIMMBEZIRK;091751320002;396;329;0;149;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;21;21;21;21;21;21;21;24;21;24;24;21;21;21;21;24;21;14;10;7;7;9;7;9;7
STIMMBEZIRK;091751320003;635;439;0;315;2;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;30;30;30;30;31;30;31;30;31;31;30;30;30;27;27;25;16;10;7;7;7;7;8;7
STIMMBEZIRK;091751320004;457;326;0;226;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;20;15;15;15;15;18;15;17;16;15;17;15;15;17;15;16;17;10;5;5;5;5;5;5;5
STIMMBEZIRK;091751320005;585;315;0;181;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;22;16;13;13;13;13;12;13;10;7;16;7;7;7;7;13;13;7;4;3;3;4;3;4;4
STIMMBEZIRK;091751320006;509;344;0;239;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;27;24;24;24;24;30;24;30;22;24;27;24;21;24;21;27;24;14;7;6;7;8;6;8;7
STIMMBEZIRK;091751320007;583;372;0;264;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;18;18;15;18;21;18;24;18;21;24;15;18;15;21;18;18;12;6;6;5;6;6;6;5
STIMMBEZIRK;091751320008;437;370;0;200;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;36;30;33;30;33;33;30;31;30;30;27;27;27;24;21;24;21;14;7;8;10;10;10;10;10
STIMMBEZIRK;091751320009;399;323;0;218;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;14;12;15;12;15;12;15;12;12;12;12;12;13;12;9;10;12;8;3;4;4;3;4;3;4
STIMMBEZIRK;091751320010;475;393;0;235;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;24;21;21;22;21;27;22;25;19;19;22;21;21;21;21;21;22;15;7;7;7;7;7;7;7
STIMMBEZIRK;091751320011;427;326;0;192;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;15;9;12;12;12;9;9;12;9;9;6;9;9;6;6;6;6;4;2;2;5;2;2;2;2
STIMMBEZIRK;091751320012;350;285;0;146;2;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;27;27;27;27;27;27;27;25;22;21;21;21;21;21;21;21;14;7;7;7;7;7;7;7
