MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
2636021,SEE914399260801,E2104101S000000000000092853400001,In Betrieb,2019-12-28,2017-12-06,,,,,haushalt,85599,Parsdorf,,,,,true,gebaeude,33,Süd,9.9,9.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2640142,SEE933536731073,E2104101S000000000000093188600001,In Betrieb,2019-12-30,2017-12-06,,,,,haushalt,85599,Parsdorf,,,,,true,gebaeude,33,Süd,9.9,9.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4146851,SEE919472852331,E2104101S000000000000093221700001,In Betrieb,2021-01-15,2017-12-07,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,33,Süd,9.9,9.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3320895,SEE971235544037,E2104101S000000000000093404300001,In Betrieb,2020-08-06,2018-01-08,,,,,haushalt,85622,Weißenfeld,,,,,true,gebaeude,19,Süd,5.4,5.4,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3077142,SEE962166785132,E21041011000000000000248878600001,In Betrieb,2020-05-23,2018-01-20,,,,,sonstige,85646,Neufarn,,,,,true,gebaeude,12,Süd,3.6,3.6,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4700483,SEE927766882841,E21041011000000000000307831700001,In Betrieb,2021-10-14,2018-01-23,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,14,Süd-Ost,4.41,4.41,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3433158,SEE937212073297,E21041011000000000000283672900001,In Betrieb,2020-09-17,2018-01-29,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,,Süd,9.0,9.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3328774,SEE996259166652,E2104101S000000000000093671500001,In Betrieb,2020-08-09,2018-02-14,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,30,Süd,8.1,8.0,70%,false,Volleinspeisung,false
2700146,SEE954100182879,,In Betrieb,2020-01-20,2018-03-13,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,,Süd,6.3,6.3,70%,false,Volleinspeisung,false
2060327,SEE959577611006,E2104101S000000000000085621900001,In Betrieb,2019-05-21,2018-03-21,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,33,Süd,9.9,9.9,50%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3125934,SEE944428761870,E2104101S000000000000095585000001,In Betrieb,2020-06-08,2018-04-12,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,25,Süd,7.5,7.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3403944,SEE979857058291,E2104101S000000000000086154800001,In Betrieb,2021-10-09,2018-04-16,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,26,Süd,8.32,8.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3565553,SEE919131370770,E21041011000000000000251475200001,In Betrieb,2020-10-26,2018-04-19,,,,,haushalt,85591,Vaterstetten,,,,,false,gebaeude,32,Ost-West,9.9,9.9,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3326621,SEE965256655643,E21041011000000000000250651000001,In Betrieb,2020-08-08,2018-05-03,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,24,Süd-Ost,7.68,7.68,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
